"region","name","alpha_D","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","start_date"
"east_of_england","alpha_D",0.0362596371708485,-0.000140305181153407,-0.000313537751701077,-0.000271134692737399,0.00033816078982091,-8.66605206923445e-05,-3.75293182159636e-05,-6.54978341167241e-05,0.00015224266561013,-6.81906047266549e-05,1.75903226486915e-05,-4.83348387726777e-05,-0.000104585919097411,-0.000302711965136903,6.84297531261426e-05,2.38984864156101e-05,-4.61212210909187e-05,-0.00030957027840117,-0.000762096120098175,7.06572105720582e-05,-0.000161394141963631,-4.44155493652191e-05,-4.81740654392895e-05,-2.10422462115395e-06,-0.000163711779779305,0.00013762859131827,-0.0116077557485425,-7.1398705370152e-08,9.44512637050393e-08,-0.000150450529585053,0.00156773706854567,0.000433090262001194,0.00183553073621701,-0.000756263434560606,0.000362317316401916,0.00338203717292623,0.00177316939202786,0.00225700591153259,0.00079594571961256,0.00167316345673754,0.000111297349808458,0.000556657128936551,0.00749390455207007,4.16216238863953e-06,1.36658116988576e-05,0.000196827715978888,-6.62266454561896e-05,-0.0883119697050747
"east_of_england","alpha_H",-0.000140305181153407,1.44073157729799e-05,-1.963926540406e-06,-2.73160129901988e-06,-3.17601247345824e-07,2.48761585263209e-06,2.07186505727066e-06,-7.32108578507879e-07,-1.73802279807217e-06,-2.25368629776212e-06,3.13704339669794e-06,-1.4386054318073e-06,-3.3893812523295e-06,9.587298450502e-06,8.25161116856857e-06,-1.1078417586141e-06,-7.26486212379591e-06,2.52497034949233e-06,2.59358495859724e-05,-6.11742629075427e-06,2.41064726910509e-06,-7.87984567100947e-07,1.42423596429784e-07,3.14816930116974e-07,8.61327046903634e-06,-5.39794343690952e-06,-0.000218916764451302,1.14612407884319e-09,7.96302661863821e-10,1.16166068835035e-05,-0.000102405457457312,-3.80755784250508e-05,-2.11373633418356e-05,-9.96598629502382e-06,2.09275531971065e-06,-5.75554722654187e-05,-4.3183918188048e-05,-0.000103302060536932,-2.12052913577021e-06,6.1062122690187e-05,6.84747078256395e-06,-1.12590712783686e-05,-0.000260256097581247,1.09445036941247e-07,1.95078225516385e-07,-0.000155526715721501,-1.23686354003104e-06,-0.00431646216302745
"east_of_england","beta1",-0.000313537751701077,-1.963926540406e-06,7.38891921031371e-05,-6.96128567817135e-06,9.48782604840666e-06,-2.37453183119816e-06,1.09321920999989e-06,5.34805244765151e-06,4.95739115149339e-07,1.72868774641878e-06,1.42528419883841e-06,2.42927621376865e-06,1.35327891889324e-06,-5.82354870811344e-05,6.85769060662459e-06,-7.51764385737962e-06,2.88192031858753e-05,1.56759003576954e-05,4.83470410045127e-05,1.02026284992679e-06,4.03471225542622e-06,2.40012113209772e-06,-7.29847524132859e-06,1.04894126477093e-05,-5.65361569146324e-06,1.3236373008475e-05,-0.00017434579692812,-2.05303427201383e-11,-1.29513564255404e-09,9.63670703179648e-05,-4.62037280597238e-05,-2.55440251557931e-06,-0.000103932371403618,0.000160972400856415,1.55465949438116e-05,-0.000225504344234205,-8.36898235375941e-05,-3.08580292570606e-05,4.44554586927067e-06,-0.000115002317971847,2.71812713576129e-05,-5.06378376513564e-06,-0.000310386490036836,-5.06461933952502e-07,-3.6364503646057e-07,0.000152092735633803,2.91142134665019e-06,0.0146293971651431
"east_of_england","beta10",-0.000271134692737399,-2.73160129901988e-06,-6.96128567817135e-06,1.49761486436564e-05,-1.23297882075926e-05,-2.73248065474689e-06,-6.03235212554801e-07,2.69252586899087e-06,-1.03149869428455e-06,1.67998950869081e-06,-1.2657300330351e-06,1.20525241774838e-06,7.64746160186151e-07,8.66509866230744e-06,-7.82709362630991e-06,7.40137037632934e-07,1.19027430648767e-07,5.32336788132718e-06,-4.21216935010598e-06,3.02766278120643e-06,-1.49796172739523e-06,2.44175129660524e-06,1.34896912270754e-06,-3.43986883929615e-07,-1.01348980678259e-06,-7.34750495349176e-06,0.000323861471832473,1.37597864252621e-09,-1.75752208634631e-09,8.10354328393502e-06,9.60920015024086e-05,6.71073754258615e-05,8.81749619040583e-06,2.04464368755209e-05,-1.44719538645745e-06,-2.57251921293712e-05,4.39373625185793e-06,5.31378647545506e-05,-2.35827511185635e-05,-7.26340773648056e-05,1.29457689198826e-05,-3.96338414185097e-06,2.55654834285018e-05,-1.11317956534299e-08,-3.47525976135518e-07,6.21280704719958e-05,1.22434682310001e-06,-0.00191756386340734
"east_of_england","beta11",0.00033816078982091,-3.17601247345824e-07,9.48782604840666e-06,-1.23297882075926e-05,2.43273156919172e-05,-4.65560100640121e-06,2.33704732524048e-06,-3.89328819638475e-06,6.98041120567463e-06,-3.57331475952288e-06,3.07263339299791e-06,-9.00087146436934e-06,-1.36503872318351e-10,-4.54671435591894e-06,1.11736508808967e-05,1.69064116602521e-07,3.96330331453016e-06,-1.3552260335684e-05,-2.03028044769624e-05,-2.79105989806767e-06,2.97455178609686e-06,-1.33210629820383e-06,-7.61988129705871e-06,3.2955123904443e-06,3.57448560771732e-06,-5.18648107595313e-07,-0.000495505419743584,-2.13131815199646e-09,1.68423525814833e-09,-0.000103068370241445,-0.000162036991155182,5.44111790998397e-05,-3.14255223888465e-05,-8.3402510261131e-05,-2.72029891345627e-06,0.000100239762815368,-9.0624012556784e-06,-7.22615374391049e-05,5.54182397134188e-05,0.000154308842753596,-7.11048119422562e-05,1.99291494494431e-05,0.000131758444695006,-8.24474045911383e-08,3.97561853151614e-07,-7.78250239612224e-05,-6.1290154931486e-07,0.00754766663098224
"east_of_england","beta12",-8.66605206923445e-05,2.48761585263209e-06,-2.37453183119816e-06,-2.73248065474689e-06,-4.65560100640121e-06,1.27559304042076e-05,-4.93669555699785e-06,1.37264790656966e-06,-2.98892923665847e-06,-7.13286845833067e-07,1.59816272649059e-06,3.75495573030417e-06,5.33580871442135e-06,-3.74763066066353e-06,-8.92538896350553e-07,-4.51966818651563e-06,2.88289800577422e-06,6.40996398197742e-06,6.20475199752529e-06,5.00185335108196e-07,-1.52163836012075e-06,2.6852095007542e-06,-2.6154710934897e-06,-4.55681152124687e-06,1.17826072984258e-05,-3.14353340806814e-06,-0.000398140722470379,-2.76255179285944e-10,1.34804488589483e-09,-3.744918832135e-05,-5.14893841422083e-05,-0.000101195658794308,-2.12295551937999e-05,-9.80724847647045e-06,-3.63995643485138e-06,0.000115069751626054,1.84550208121427e-05,-0.000124902359916362,-4.99559334933458e-05,5.75502280442917e-05,-5.39537338497237e-05,-1.24167208092453e-05,-4.8500719080039e-05,4.21194432410674e-07,-9.48665010140189e-08,-0.000154726662558864,1.13500802641375e-06,-0.000825480204641172
"east_of_england","beta13",-3.75293182159636e-05,2.07186505727066e-06,1.09321920999989e-06,-6.03235212554801e-07,2.33704732524048e-06,-4.93669555699785e-06,5.52051164197229e-06,-4.33164038419018e-06,5.64334107813676e-07,-4.06590686738313e-07,5.22595191599089e-07,-4.3305205105712e-06,-4.42542951651575e-06,1.28024102334436e-05,3.71458425069919e-06,7.51839713138159e-06,-2.99722642142059e-06,-9.45480901428264e-06,-1.09070318261836e-06,-3.08507411115837e-06,2.88801551526943e-06,-2.40545340700508e-06,-3.86923261651681e-07,4.71774651858354e-06,-5.74993152588969e-06,1.71654235590181e-06,0.000128138373328902,-2.11190203092916e-10,-2.92541268900364e-10,-2.07733260832946e-06,-5.85297359227021e-06,3.44330472549301e-05,-1.03252939652065e-05,-1.26351877595197e-05,-1.16882753052569e-06,-4.85357505202344e-05,-2.56713180086367e-05,1.09224740475045e-05,3.16043761132562e-05,1.79233425152293e-05,9.40437257439196e-06,5.84043344423892e-06,-9.57361208880096e-06,-2.73408710022151e-07,8.24672762422439e-08,2.15254557589578e-06,-1.38045646392184e-06,-0.00154605799497997
"east_of_england","beta14",-6.54978341167241e-05,-7.32108578507879e-07,5.34805244765151e-06,2.69252586899087e-06,-3.89328819638475e-06,1.37264790656966e-06,-4.33164038419018e-06,7.26358555323178e-06,-1.09047817470767e-06,9.37261949989048e-07,-6.71428586739017e-07,5.91176317855947e-06,4.60931282707879e-06,-1.64099183201321e-05,-3.93825374399866e-06,-8.34404776632355e-06,5.73724039411685e-06,1.4989347633485e-05,8.50779783276861e-06,3.26545229158322e-06,-1.98763702573898e-06,1.57267115521486e-06,3.40623897764041e-06,-3.64743221446468e-06,3.10217069637335e-06,3.47891923046484e-07,3.411636360626e-05,1.38523063081169e-09,-1.10688170827871e-09,5.04196187569824e-05,4.08825231874262e-05,-1.11622239394661e-05,6.85394233197194e-06,2.98437385213607e-05,8.19718797003525e-06,-4.62984599667681e-05,9.48384187858121e-06,1.06362652416215e-05,-3.2067669322565e-05,-8.67230523789666e-05,1.57074938231241e-05,-1.09412173412112e-05,-3.53638159570299e-05,2.35171441853443e-07,-4.7183088479365e-08,4.52450604837372e-05,1.92778288306925e-06,0.00201500544752962
"east_of_england","beta15",0.00015224266561013,-1.73802279807217e-06,4.95739115149339e-07,-1.03149869428455e-06,6.98041120567463e-06,-2.98892923665847e-06,5.64334107813676e-07,-1.09047817470767e-06,6.22283110401932e-06,-1.89647583597714e-06,1.56437792041767e-06,-3.62198710851417e-06,-3.02025857550369e-06,6.77356028393384e-06,4.08932437398746e-06,1.27478530224828e-06,4.43285581396717e-06,-7.02886448626813e-06,-1.65347993699078e-05,-1.41113571540078e-06,3.11352868319871e-07,7.00906832310141e-07,-4.53322349351368e-06,3.32240272748144e-06,-8.05038060180704e-07,-2.6699617482067e-06,-0.000223560062690688,-8.14749887530236e-10,1.17811819141646e-09,-4.99084409731682e-05,-3.49101708329357e-05,2.41860883537533e-05,2.00269991887739e-05,-2.61141610174279e-05,-9.66525061634253e-07,5.30784538645687e-05,-1.25949559952616e-05,-6.69354679620241e-06,3.32065784583422e-05,7.78237827507096e-05,-1.59847126802024e-05,6.33015548839608e-06,3.56579756543237e-05,-2.38032619985667e-08,5.53070386531809e-08,4.75189165112552e-05,-7.47946772315097e-07,0.00159326723500251
"east_of_england","beta16",-6.81906047266549e-05,-2.25368629776212e-06,1.72868774641878e-06,1.67998950869081e-06,-3.57331475952288e-06,-7.13286845833067e-07,-4.06590686738313e-07,9.37261949989048e-07,-1.89647583597714e-06,2.11391096075894e-06,-2.33724410590679e-06,2.57036926683439e-06,1.0545741271624e-06,-7.14708560230853e-06,-3.59584605919705e-06,-6.9117784824754e-07,-1.37182349604068e-06,4.20470723410965e-06,4.30375480851727e-06,2.16929184423684e-06,-5.75166257757372e-07,-2.77627979444619e-08,2.79542804011385e-06,-9.18630052765544e-07,-3.47029100696546e-06,2.8439996355374e-06,0.000274480140013478,8.04094890569775e-10,-1.26230852616977e-09,3.68730284218047e-05,3.69469663489231e-05,-8.22630965578225e-06,-9.63109026966483e-07,3.40345169742456e-05,1.88410434248603e-06,-5.70619705340648e-05,4.00836815238269e-06,6.07247457900451e-05,-1.18954911010175e-05,-6.32741420640203e-05,3.26465068749506e-05,-4.71989054399927e-07,1.14782819441707e-05,-9.19922536593151e-08,-8.54858756645188e-08,8.02483972673034e-05,2.5422980466876e-07,4.87664799931685e-05
