"","nation","scenario","date","npi","Rt","Rt_sd","adherence","key","region"
"1","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","east_of_england"
"2","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","midlands"
"3","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","london"
"4","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_east_and_yorkshire"
"5","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","north_west"
"6","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_east"
"7","england","July-19",2021-07-19,"full_lift_schools_open",2.703,0.2,"central","July-19: central","south_west"
"8","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","east_of_england"
"9","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","midlands"
"10","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","london"
"11","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_east_and_yorkshire"
"12","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","north_west"
"13","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_east"
"14","england","July-19",2021-07-19,"full_lift_schools_open",2.226,0.2,"high","July-19: high","south_west"
"15","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","east_of_england"
"16","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","midlands"
"17","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","london"
"18","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_east_and_yorkshire"
"19","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","north_west"
"20","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_east"
"21","england","July-19",2021-07-19,"full_lift_schools_open",3.18,0.2,"low","July-19: low","south_west"
"22","england","July-19",2021-07-24,"full_lift_schools_closed",2.453,0.2,"central","July-19: central","east_of_england"
