"region","name","initial","min","max","discrete","include"
"midlands","mu_gamma_H_2",0.753221945173084,0,2,FALSE,TRUE
"midlands","mu_gamma_H_3",0.547185245439059,0,2,FALSE,TRUE
"midlands","p_G_D",0.0307057371507385,0,1,FALSE,TRUE
"midlands","p_G_D_CHR",0.497413749718754,0,1,FALSE,TRUE
"midlands","p_H",0.477774835783663,0,1,FALSE,TRUE
"midlands","p_H_2",0.757572968638153,0,1,FALSE,TRUE
"midlands","p_H_3",0.948992293715802,0,1,FALSE,TRUE
"midlands","p_H_D",0.310341610164604,0,1,FALSE,TRUE
"midlands","p_ICU",0.212040958443669,0,1,FALSE,TRUE
"midlands","p_ICU_2",0.138341420677424,0,1,FALSE,TRUE
"midlands","p_ICU_D",0.585348292548605,0,1,FALSE,TRUE
"midlands","p_NC",0.00463374184668299,0,1,FALSE,TRUE
"midlands","p_NC_weekend",0.00275789340391022,0,1,FALSE,TRUE
"midlands","p_W_D",0.115140296547467,0,1,FALSE,TRUE
"midlands","rho_pillar2_tests",0.00351565409644481,0,1,FALSE,TRUE
"midlands","start_date",33,1,75,TRUE,TRUE
"midlands","strain_seed_date",461,433,517,TRUE,TRUE
"midlands","strain_transmission_2",1.738684264825,0,3,FALSE,TRUE
"london","alpha_D",0.269441453499684,0,1,FALSE,TRUE
"london","alpha_H",0.00431802410647938,0,1,FALSE,TRUE
"london","beta1",0.0901725167863798,0,1,FALSE,TRUE
"london","beta10",0.0643622591832762,0,1,FALSE,TRUE
"london","beta11",0.0435463104248972,0,1,FALSE,TRUE
"london","beta12",0.0393507829150243,0,1,FALSE,TRUE
"london","beta13",0.0624842917178089,0,1,FALSE,TRUE
"london","beta14",0.0800267505854017,0,1,FALSE,TRUE
"london","beta15",0.0675139382602293,0,1,FALSE,TRUE
"london","beta16",0.0388699272430221,0,1,FALSE,TRUE
"london","beta17",0.0482553772690043,0,1,FALSE,TRUE
"london","beta18",0.0910689318876109,0,1,FALSE,TRUE
"london","beta19",0.0493251991474245,0,1,FALSE,TRUE
"london","beta2",0.0343555008849995,0,1,FALSE,TRUE
"london","beta20",0.0727104426519896,0,1,FALSE,TRUE
"london","beta21",0.0479764505931169,0,1,FALSE,TRUE
