"region","name","alpha_D","alpha_H","beta17","beta18","beta19","beta20","beta21","beta22","beta23","beta24","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","strain_seed_date","strain_transmission_2"
"east_of_england","eps",-0.000365537873164423,2.06466441901533e-05,-3.0419116321515e-06,4.18069831771472e-05,0.000140550165744679,-3.27178771629016e-05,-4.4400385809126e-06,4.79864204906238e-05,-5.52194453750534e-05,-6.36119332727657e-05,0.046477014492557,5.3952571525095e-08,-2.46238355832517e-08,-0.000402423190804523,-0.001620132723439,-0.00112918405471674,0.00221325159913347,-0.000689194105738829,-0.000802250962042379,0.000281771578824313,-0.000762355244954175,-7.67055386585655e-05,0.00149328513247052,-0.000535402581842611,0.000295172162498764,-0.000157006570959192,-0.00682164965548654,-9.06683299205591e-06,-5.22416112149416e-06,0.00711977813519771,-5.3673412767155e-05,0.0423717346814844,0.000644217559109521
"east_of_england","m_CHR",-1.01815006714615e-07,5.8093893392798e-10,2.30240461297593e-10,-2.0567996968062e-09,1.57784981193963e-09,-5.73327523758179e-10,1.4681870937588e-09,-1.05122266425883e-09,4.17805070872781e-10,3.00403889285534e-10,5.3952571525095e-08,2.60646197243877e-12,-1.20153334423145e-12,5.78283770380862e-09,-6.80221707518557e-09,-4.10349098230781e-09,-1.70219342707236e-09,-7.0182454841381e-09,-2.49041640237718e-09,4.23260278761484e-09,-7.20863105711369e-09,1.84984968517481e-08,7.34457461041318e-09,-4.09753032163914e-09,-9.55116062900242e-09,-3.75790209184069e-09,-3.88229418448555e-08,-9.54076189805765e-11,8.03116259248491e-11,-3.72370614933459e-09,-7.4567470023378e-10,2.34753354808632e-07,-1.24428813409689e-08
"east_of_england","m_CHW",-3.85123212688766e-08,-2.09119956741937e-10,-1.00110163333457e-10,7.31197011426951e-10,-3.97436913191949e-10,-5.78461647641587e-10,-6.89578364740964e-10,3.20403907662578e-10,-1.91896798762922e-09,-3.56672706720703e-10,-2.46238355832517e-08,-1.20153334423145e-12,3.18206654222337e-12,1.11640299191757e-08,-2.58527762178682e-08,-2.66870456612795e-09,8.95582413013927e-09,1.09696562897223e-08,6.55136656799007e-09,2.83604744755059e-08,-2.02664647883183e-08,2.28533097583501e-08,1.77671402644981e-08,1.14846408881769e-08,1.5187175776398e-08,-1.8368859832715e-09,-3.29473142259386e-08,5.56780045982443e-11,1.77401740413615e-11,3.40828633089153e-08,2.62068047972355e-10,-8.03627802257031e-07,2.19613565461878e-08
"east_of_england","mu_D",-0.00158813789485516,6.26068616263655e-07,-6.85044950293126e-06,-3.33658580409648e-05,2.92914208453325e-05,-1.83586885910892e-05,-2.12015530677364e-06,3.379948074529e-05,-5.62171755527557e-05,-6.73220966158164e-06,-0.000402423190804523,5.78283770380862e-09,1.11640299191757e-08,0.00116250435812708,0.000377030943824293,0.000188889249667975,-0.000152299756550929,6.01771224063119e-05,5.36213368964386e-05,0.000240942308716127,-0.000163249384333856,0.000617473249817659,-0.000262812901223465,-0.000650791144397301,0.000163686689239372,8.71897068430469e-06,-0.00094510961121721,-3.07199908300004e-06,4.64797807178969e-07,0.00112449794355501,-6.63099549408364e-06,0.0227742628518303,0.000170250873448103
"east_of_england","mu_D_2",0.00210350729169327,-2.27745675834464e-05,-1.19159659383543e-05,3.19526347360999e-05,-4.19555000364756e-05,3.57983712647812e-05,-0.000102187855795862,5.7269959754537e-05,-5.51057277713532e-06,-8.22492265370087e-06,-0.001620132723439,-6.80221707518557e-09,-2.58527762178682e-08,0.000377030943824293,0.00524768372928196,0.00340624452242678,-0.00097403638746372,-0.000100132037249785,7.19392580980347e-05,-0.00130320507109664,0.000618906443183684,-0.000598961019674468,0.000655943390389959,-0.0010547617443975,-0.000560669034710192,0.000260417088691038,0.00243779783168878,-5.86689321977734e-06,9.21630582537792e-08,0.00351866185657895,3.28945573770511e-05,0.0353954676476657,0.000620301581192623
"east_of_england","mu_gamma_H",-0.000538754750450705,-3.65850689217487e-06,-5.41007126537684e-05,0.000100118919300359,-0.000136001523433596,8.35749697828968e-05,4.06751936265521e-06,2.20039380339452e-05,-2.17313312789316e-05,1.45861965118771e-05,-0.00112918405471674,-4.10349098230781e-09,-2.66870456612795e-09,0.000188889249667975,0.00340624452242678,0.00551451537108534,-0.000275847479488706,-0.000291540783374331,0.000215425293491902,0.00101577208487309,-0.000344583198093957,-0.000368851361605033,0.00188616751473521,-0.00117821755982151,-0.000505517781438579,3.53780773367398e-05,0.00183930517860242,-1.06306689037657e-05,7.56187712336236e-07,0.00118085438342696,1.24978834164598e-05,-0.0491394475938442,-0.00086707184042939
"east_of_england","mu_gamma_H_2",-0.00122963700493934,8.58023034154229e-06,-5.18783870024413e-06,1.26754766493164e-05,4.65610088025847e-06,-1.9142011686981e-05,4.25650656556947e-05,-4.80264165123488e-06,-3.00094775593609e-05,-1.76739064242597e-05,0.00221325159913347,-1.70219342707236e-09,8.95582413013927e-09,-0.000152299756550929,-0.00097403638746372,-0.000275847479488706,0.0012099006707834,-0.000320256918715584,7.01543822041002e-05,0.000339764327657921,-0.00062102612468359,0.0006430310093779,-0.000342259638026697,-0.000348050356865144,0.000450843025196217,-5.91116643304863e-05,0.000189030342021835,3.21929323942573e-06,1.5634909675855e-06,0.000470153392940919,-1.86296812569793e-05,-0.00988565611941943,1.9991168066008e-05
"east_of_england","mu_gamma_H_3",0.000187743765534154,-7.75197659240284e-06,7.33014271103068e-06,-1.69248119945992e-05,1.84621968101826e-05,-1.19877662302394e-08,-1.80307035115847e-05,-1.59112260359885e-06,1.95634834703214e-05,4.60937436229881e-06,-0.000689194105738829,-7.0182454841381e-09,1.09696562897223e-08,6.01771224063119e-05,-0.000100132037249785,-0.000291540783374331,-0.000320256918715584,0.000767272564417855,3.17929331733543e-05,-4.34514999123801e-06,0.000220957076666194,-0.000317021943252507,-6.81539266557671e-05,0.000263066653867448,-0.000148346507687356,-9.3681260289585e-06,-0.000365897097637932,-2.64494857097688e-07,-1.38717960471562e-06,-0.000391658107186926,9.37147915316444e-06,0.00120689502003317,-4.12484555026457e-05
"east_of_england","p_G_D",-0.00021132371031009,-1.4301848933242e-06,-3.83797724965415e-06,1.25305805769253e-05,-1.36118946721316e-05,4.98309080121918e-07,5.23561612709842e-06,-7.89314074712689e-06,5.94993575801301e-06,4.00802803069131e-06,-0.000802250962042379,-2.49041640237718e-09,6.55136656799007e-09,5.36213368964386e-05,7.19392580980347e-05,0.000215425293491902,7.01543822041002e-05,3.17929331733543e-05,0.00012615455371363,8.44193772378421e-05,-7.84203551412109e-05,0.00017919239728248,0.000108864193741474,-9.11251136594996e-05,1.51862243388452e-05,-2.10156277694332e-07,0.00026498049860915,2.20435347852465e-07,7.19213312920413e-07,-0.000213141441910845,1.16314629923684e-06,-0.0108165623857292,-7.04573028479147e-05
"east_of_england","p_G_D_CHR",-0.00396856614538174,2.12532889778977e-05,-1.40464009411385e-05,3.03006305231337e-06,-9.71965843747796e-06,-1.42130144995239e-05,8.0425552576405e-05,-6.1572874448952e-05,3.88216434205772e-05,-4.49588182092314e-05,0.000281771578824313,4.23260278761484e-09,2.83604744755059e-08,0.000240942308716127,-0.00130320507109664,0.00101577208487309,0.000339764327657921,-4.34514999123801e-06,8.44193772378421e-05,0.00347266316349632,-0.000393038386856495,0.000882722823128598,0.000711821986932282,0.000295148982766934,0.000560527678583522,-0.000173749870397229,-0.000367995256417348,-7.86351141555262e-06,3.1326862585487e-06,0.00133211775414802,-1.04168171438415e-05,-0.0355738463859903,-0.000670021735642862
