"region","name","alpha_D","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","start_date"
"east_of_england","alpha_D",0.0211089838089042,8.209581174953e-05,7.52953451916262e-05,1.48585312794021e-05,-4.15504968331318e-05,1.22305060222481e-05,9.55904261530817e-05,-2.93158624338832e-06,-0.000146936765139426,-4.13849437133392e-05,5.83508801587326e-05,0.000151572853957466,8.00517776966363e-06,-0.000425147581562067,-4.66326615581673e-05,-0.000236454819695776,0.000170204390503949,0.00039869832307423,0.000365626334569598,7.03584039164947e-05,-2.26974047533659e-05,-0.000123440102512744,9.90598581456068e-05,-1.4892001386939e-05,0.000201557585270052,-0.000207210630084315,-0.0057215203181389,2.65668514234286e-10,-3.38353914588737e-09,-0.00106091721745975,0.00134779955161715,-0.00231014258979673,0.00177222412629663,-0.00103866837393877,0.000490874427486729,-0.00429868585575129,-6.90363976141502e-05,-0.00147488882102107,-0.000475153352101057,-0.000444648069101191,0.000290258183257808,0.000306001762605462,-0.0012301868273408,3.45639820472883e-06,2.14829897965977e-05,-0.000371426663163817,-3.42173604900642e-05,0.0475219309033444
"east_of_england","alpha_H",8.209581174953e-05,6.41262080156183e-06,-2.43799943486349e-05,2.29693123004897e-06,-1.01153789002693e-06,-2.03794684439787e-06,4.52634215214623e-06,-4.36532389410101e-06,3.58686539882602e-06,-1.62577223871029e-06,1.58661814516791e-06,2.99033102073111e-06,4.51935213803548e-07,1.04235581555689e-05,1.52086260022957e-06,-5.25981453571146e-06,1.2626270951839e-06,-4.50863733782423e-06,1.10802050377192e-05,-4.35281457353559e-07,8.44480812012194e-07,-3.34229222643339e-07,-3.97770093618258e-07,3.60948171540832e-06,-4.3782690893518e-06,3.50611002863943e-07,1.97031874533919e-05,4.80644376613801e-10,-8.3882603146359e-10,6.52741033310707e-06,7.67362623953612e-05,5.07132507935302e-05,1.05060350605089e-05,-3.05629172821885e-05,4.48651265441251e-06,-7.15463230660224e-05,-2.43825535667625e-06,-3.34502758733795e-05,8.83015269115223e-06,-8.36404703685495e-05,-4.29117816321493e-05,6.55688545112792e-06,3.378063845535e-06,9.70325477555565e-08,2.56718163882006e-07,-2.44685743489006e-05,-3.52104673557819e-08,-0.00799857836229579
"east_of_england","beta1",7.52953451916262e-05,-2.43799943486349e-05,0.000179212916109678,-1.34473226265654e-06,-8.582863990371e-06,1.53271885197657e-05,-1.86601861093394e-05,3.227224314128e-05,-1.68487393528955e-05,4.01965107916839e-06,1.14463668690004e-06,-1.47239522068091e-05,3.00336370140062e-06,-0.000136978416250303,-9.07772392119418e-06,4.0384068493918e-05,-5.85794334321152e-06,6.02157770430024e-05,-5.59042880412602e-05,2.36956360280995e-06,-1.11357455849087e-06,-5.5406940574255e-06,7.6267599653439e-06,-5.59390632007925e-06,1.70321384858092e-05,-3.94434858413427e-06,-0.000391093205411031,1.62715319731142e-09,2.6345158161102e-09,9.01556602087129e-06,-0.000127956397389119,-0.000227263928700816,9.42157950387462e-05,-0.000142841008777911,1.43863001025846e-05,6.65748042513268e-05,-0.000108464546856193,-1.63160656037954e-05,-6.86190055966578e-05,0.000194628098107224,0.000185560270093852,-2.62819846486066e-05,0.000114129094284533,1.16105461112541e-06,-3.10284848478728e-07,0.000279288146331173,2.24606317812841e-06,0.0466372398360809
"east_of_england","beta10",1.48585312794021e-05,2.29693123004897e-06,-1.34473226265654e-06,1.04040139202195e-05,-1.53995123844741e-05,5.0196487518387e-06,3.59233568739148e-06,-3.37731658711902e-06,3.87851185161073e-06,-1.46599005956974e-06,1.33617507915361e-06,5.4449267905729e-06,-1.30459090084795e-06,-4.03323255944751e-06,-1.45827241083321e-06,1.04755982868658e-06,-1.44383469319803e-08,2.73103404657136e-06,6.5753198134609e-06,-1.79499705635132e-06,2.7055340006817e-06,-3.55816804679279e-06,-3.46743546886651e-06,1.01741355118576e-05,-9.41866505462603e-06,-4.923056427615e-06,3.46144807571788e-05,-1.2834156258085e-09,7.11280364957952e-12,8.36973148260281e-05,8.68629470559531e-05,4.15584948147049e-05,1.49438731925072e-05,-9.62454881223927e-05,8.35662406996457e-06,-2.87265163071138e-05,1.92087996778701e-06,-6.37705605900805e-05,-3.90138005828341e-06,-9.94262768580291e-05,-4.57717561370931e-05,1.1847971453804e-05,6.14666781334932e-05,4.03707494848416e-08,1.19749553818532e-07,5.00087957932333e-05,7.01753176925497e-08,-0.00284949524754249
"east_of_england","beta11",-4.15504968331318e-05,-1.01153789002693e-06,-8.582863990371e-06,-1.53995123844741e-05,3.02476699772605e-05,-1.30110799495379e-05,-2.68235972793286e-06,3.27095954713643e-06,-7.58773360428169e-06,1.98265502722208e-06,-2.24707201858552e-06,-3.70480927064163e-06,7.99156391922228e-07,9.52278319797232e-06,2.77256457526644e-06,-4.22768620029066e-06,3.33401329650257e-06,-1.23883021863348e-05,-5.31061609907278e-07,2.62549164138063e-06,-4.09686698256266e-06,6.58851854317379e-06,7.67563648245268e-06,-1.8700734207797e-05,1.7302708609814e-05,5.51113686937939e-06,-6.4040607787196e-06,2.58065311462652e-09,-6.51296994475282e-10,-0.000166288582568688,-5.7933610400703e-05,6.45213718896948e-05,-8.47297354962959e-06,0.000110528378373609,-1.16836172839341e-05,-7.48321108840457e-05,-1.05985626993545e-05,7.93970924781065e-05,2.25774399897027e-05,0.000116617190478288,3.05447239744997e-05,-1.25770605896677e-05,-6.42479992849804e-05,-1.52936363122999e-07,-4.22417426764306e-07,-0.000163277437428039,-1.05566557357913e-06,0.000419820802656212
"east_of_england","beta12",1.22305060222481e-05,-2.03794684439787e-06,1.53271885197657e-05,5.0196487518387e-06,-1.30110799495379e-05,9.65351452401444e-06,-2.89044891049459e-06,2.73517071677903e-06,2.45478143522748e-06,-8.05895958017758e-07,1.26216453170853e-06,-1.35947347756454e-06,2.48112947355747e-07,-4.68689453816485e-06,-2.71011038605132e-06,5.56237490935481e-06,-8.20738268003103e-07,1.52190744181432e-05,-5.83582729275901e-07,-1.36099112765836e-06,1.43906699822914e-06,-2.91271910882015e-06,-3.67837407741878e-06,7.28051759725519e-06,-5.12581410922494e-06,-2.46988888732138e-06,-0.00012058012779005,-1.39977599066782e-09,1.07236006257392e-09,9.12394129161655e-05,-2.72156881135661e-05,-0.000101071588689259,-6.12233677889266e-06,-8.78265346605114e-06,9.81148483471205e-06,8.99321425100985e-05,1.29564901930968e-06,-3.46279970588936e-05,-1.64686784862742e-05,-1.86245476626941e-05,1.30009323538376e-05,1.65730418608524e-06,-1.60648757948342e-05,1.72063740184111e-08,3.23140672389718e-07,0.000118486570895097,5.46801240484291e-07,0.00369161931696849
"east_of_england","beta13",9.55904261530817e-05,4.52634215214623e-06,-1.86601861093394e-05,3.59233568739148e-06,-2.68235972793286e-06,-2.89044891049459e-06,7.48184998820228e-06,-6.76317620171953e-06,2.83987745845992e-06,-1.02356335602033e-06,1.53780163654091e-06,4.88208653351395e-06,2.0588260779157e-06,7.91177776524206e-07,-2.05212321794396e-07,-4.84246967767341e-06,-2.96972589902338e-06,-8.47706363807131e-06,5.18553146683939e-06,1.57235936440819e-07,1.02127305205871e-06,-1.1876936784705e-06,2.14478009130992e-06,1.78595260761236e-06,-3.73356454642969e-06,6.85775573968426e-07,9.58797571273902e-05,7.09946252658375e-10,-1.42935739730446e-09,-1.37924201179271e-05,0.00012753157243829,9.0824620044197e-05,2.74271979327149e-05,-3.77661682008956e-05,3.43004636733129e-06,-0.000110372451011012,-4.09937403842191e-06,-3.95614570583641e-05,1.11304381838745e-05,-9.3899608963431e-05,-6.89586189337331e-05,1.04588569138949e-05,0.000119015831940321,2.11863686743867e-07,3.36378298587035e-08,-2.84692855346382e-05,3.13657796608932e-07,-0.00749675319050138
"east_of_england","beta14",-2.93158624338832e-06,-4.36532389410101e-06,3.227224314128e-05,-3.37731658711902e-06,3.27095954713643e-06,2.73517071677903e-06,-6.76317620171953e-06,1.06963477994133e-05,-2.58789976111121e-06,3.8005193145331e-07,5.89679759795154e-07,-4.96098379962796e-06,-9.68815989149865e-08,-1.46080761296009e-05,-2.38455228834672e-06,1.28806865051292e-05,3.60067348964483e-06,1.86365333034563e-05,-9.006947185936e-06,1.59715863115587e-07,-5.65864567608832e-08,-1.29597281109411e-06,2.19819518838612e-06,-1.32277389392031e-06,3.94516330266595e-06,9.20300261800601e-07,-0.000211745530690693,9.60330919820949e-10,6.36334222564915e-10,-1.31998090505441e-06,-7.23166079069056e-05,-9.44974661938334e-05,-8.12920910193405e-06,2.58966728598371e-05,4.02655524140628e-06,5.32054532684396e-05,-2.92424826490094e-05,1.17743962891292e-05,-2.08347109237099e-05,6.70016956723116e-05,5.28520346531045e-05,-1.20959051305609e-05,-4.46544208669022e-05,2.87244796332095e-07,4.76043417215779e-09,6.92053413252103e-05,5.1790069328185e-07,0.00930967102768058
"east_of_england","beta15",-0.000146936765139426,3.58686539882602e-06,-1.68487393528955e-05,3.87851185161073e-06,-7.58773360428169e-06,2.45478143522748e-06,2.83987745845992e-06,-2.58789976111121e-06,1.09465112946574e-05,-1.62052251619314e-06,1.84508674100262e-06,2.62716331153836e-08,1.52098821862739e-06,7.68847824326791e-06,-1.4163396095756e-06,5.82174302244476e-06,9.9297883399098e-07,-6.23555660218942e-07,-2.09322561022477e-06,-1.2023546859347e-06,2.37174017674527e-06,-1.36761937412578e-06,-3.03710087070693e-06,9.42310942354602e-06,-1.22579889492213e-05,4.52675317939017e-06,-5.8325493134475e-05,6.8610551737967e-10,-8.34133599481135e-10,5.49064313283666e-05,4.88175348460666e-05,1.8170764335458e-05,-1.1088481796104e-05,4.61699035207134e-05,-2.17421466264408e-07,5.79809747643661e-05,-1.15944966544847e-05,-1.78756990633259e-05,-1.15704049137921e-05,-7.78391186069283e-05,-4.80423774515657e-05,8.16802084696894e-07,8.58034729282785e-05,2.08869841329763e-07,1.89369581088915e-07,8.43404480388553e-05,1.05052208608484e-06,-0.00794366392310738
"east_of_england","beta16",-4.13849437133392e-05,-1.62577223871029e-06,4.01965107916839e-06,-1.46599005956974e-06,1.98265502722208e-06,-8.05895958017758e-07,-1.02356335602033e-06,3.8005193145331e-07,-1.62052251619314e-06,8.68561761857021e-07,-9.42859887748725e-07,-1.33520945025859e-06,-4.00211413735633e-07,-1.1907522443562e-06,1.02262907648751e-06,-5.37304706703065e-07,-2.74300841306495e-06,-1.5015098333647e-06,-2.55311186181525e-06,4.2395865319209e-07,-6.1133592861079e-07,1.15971122639644e-06,-1.68661242523574e-07,-1.48427583914275e-06,1.17012205157946e-06,5.07173008337197e-07,6.61909834266248e-05,-8.63912409718644e-11,7.51355348184224e-11,-1.3947287667466e-05,-2.63878911221759e-05,-5.11253708199269e-06,-8.39810571280796e-06,1.11893535113348e-05,-3.17987907794077e-06,1.35992210643876e-05,2.22014171071164e-06,2.23125350770185e-05,5.94958808120439e-06,3.1905350745069e-05,1.56305168750202e-05,-2.07426570910084e-06,-1.62345121200328e-06,-7.98098422568854e-08,-1.9099209167318e-07,7.77353119539479e-06,7.52768786529272e-08,0.00195691991283912
"east_of_england","beta17",5.83508801587326e-05,1.58661814516791e-06,1.14463668690004e-06,1.33617507915361e-06,-2.24707201858552e-06,1.26216453170853e-06,1.53780163654091e-06,5.89679759795154e-07,1.84508674100262e-06,-9.42859887748725e-07,2.22535863496687e-06,-5.17345565996653e-07,2.35461750706423e-06,-4.36251073670748e-06,-8.03804945389541e-07,2.65904102284847e-06,-2.21302334953706e-06,5.79895402520773e-06,1.73634539180246e-07,-2.18009861162767e-07,8.49359095604026e-07,-1.68661972776971e-06,2.2565336297705e-06,1.7647420371112e-06,-1.92433128845389e-06,1.77677411995046e-06,-5.66308432136385e-05,7.62541217233606e-10,-5.06803716171592e-10,3.38158417277641e-06,6.23193218717819e-05,-1.59328282023072e-06,1.2918970471632e-05,-4.82683195338164e-06,8.23653148940119e-06,-3.30479568194177e-05,-1.8497529055152e-05,-3.31138460729152e-05,3.91266112479266e-06,-5.14092054982437e-05,-2.5828372683807e-05,1.23662319502038e-06,4.95764622403334e-05,3.26496325064611e-07,1.73263719905321e-07,4.55279929191306e-05,9.57861781875323e-07,-0.00132659148214236
