"region","name","initial","min","max","discrete","include"
"east_of_england","alpha_D",0.40927294839753,0,1,FALSE,TRUE
"east_of_england","alpha_H",0.00519481714750393,0,1,FALSE,TRUE
"east_of_england","beta1",0.161464967463472,0,1,FALSE,TRUE
"east_of_england","beta10",0.0473347987202998,0,1,FALSE,TRUE
"east_of_england","beta11",0.0449151454224865,0,1,FALSE,TRUE
"east_of_england","beta12",0.0405201002934039,0,1,FALSE,TRUE
"east_of_england","beta13",0.041964163846402,0,1,FALSE,TRUE
"east_of_england","beta14",0.0737580684769515,0,1,FALSE,TRUE
"east_of_england","beta15",0.0472473354748568,0,1,FALSE,TRUE
"east_of_england","beta16",0.0367270350721396,0,1,FALSE,TRUE
"east_of_england","beta17",0.0395082883722897,0,1,FALSE,TRUE
"east_of_england","beta18",0.0557254989533003,0,1,FALSE,TRUE
"east_of_england","beta19",0.049975074892611,0,1,FALSE,TRUE
"east_of_england","beta2",0.0256622572121706,0,1,FALSE,TRUE
"east_of_england","beta20",0.0734538512497314,0,1,FALSE,TRUE
"east_of_england","beta21",0.110107229430345,0,1,FALSE,TRUE
"east_of_england","beta22",0.115631650751964,0,1,FALSE,TRUE
"east_of_england","beta23",0.0840928113725659,0,1,FALSE,TRUE
"east_of_england","beta24",0.102516976008497,0,1,FALSE,TRUE
"east_of_england","beta3",0.0291473928632263,0,1,FALSE,TRUE
"east_of_england","beta4",0.0303365432874064,0,1,FALSE,TRUE
"east_of_england","beta5",0.0324002854877014,0,1,FALSE,TRUE
"east_of_england","beta6",0.0282995666581038,0,1,FALSE,TRUE
"east_of_england","beta7",0.0362463929710584,0,1,FALSE,TRUE
"east_of_england","beta8",0.0513635496031828,0,1,FALSE,TRUE
"east_of_england","beta9",0.0560658418972433,0,1,FALSE,TRUE
"east_of_england","eps",0.671925641825868,0,1,FALSE,TRUE
"east_of_england","m_CHR",1.04380156209931e-05,0,1,FALSE,TRUE
"east_of_england","m_CHW",3.13705472297543e-06,0,1,FALSE,TRUE
"east_of_england","mu_D",0.313741764710106,0,1,FALSE,TRUE
"east_of_england","mu_D_2",0.660343424339564,0,1,FALSE,TRUE
"east_of_england","mu_gamma_H",1.13047857681562,0,2,FALSE,TRUE
"east_of_england","mu_gamma_H_2",0.828766670725419,0,2,FALSE,TRUE
"east_of_england","mu_gamma_H_3",0.506177347110454,0,2,FALSE,TRUE
"east_of_england","p_G_D",0.0285157958269041,0,1,FALSE,TRUE
"east_of_england","p_G_D_CHR",0.408502262618643,0,1,FALSE,TRUE
"east_of_england","p_H",0.301831742588888,0,1,FALSE,TRUE
"east_of_england","p_H_2",0.900484630996109,0,1,FALSE,TRUE
"east_of_england","p_H_3",0.908103863849432,0,1,FALSE,TRUE
"east_of_england","p_H_D",0.604084410637297,0,1,FALSE,TRUE
"east_of_england","p_ICU",0.32316562244239,0,1,FALSE,TRUE
"east_of_england","p_ICU_2",0.103612626584159,0,1,FALSE,TRUE
"east_of_england","p_ICU_D",0.613332911821715,0,1,FALSE,TRUE
"east_of_england","p_NC",0.00485602428837928,0,1,FALSE,TRUE
"east_of_england","p_NC_weekend",0.00290345986409892,0,1,FALSE,TRUE
"east_of_england","p_W_D",0.309630130455526,0,1,FALSE,TRUE
"east_of_england","rho_pillar2_tests",0.00411734648855512,0,1,FALSE,TRUE
"east_of_england","start_date",50,1,75,TRUE,TRUE
"midlands","alpha_D",0.320554145831494,0,1,FALSE,TRUE
"midlands","alpha_H",0.0125044800131323,0,1,FALSE,TRUE
"midlands","beta1",0.114747287610848,0,1,FALSE,TRUE
"midlands","beta10",0.0541547175098481,0,1,FALSE,TRUE
"midlands","beta11",0.0423561741654506,0,1,FALSE,TRUE
"midlands","beta12",0.0346912856888868,0,1,FALSE,TRUE
"midlands","beta13",0.040138899514088,0,1,FALSE,TRUE
"midlands","beta14",0.0656770949541167,0,1,FALSE,TRUE
"midlands","beta15",0.0533105703627726,0,1,FALSE,TRUE
"midlands","beta16",0.0425339323525461,0,1,FALSE,TRUE
"midlands","beta17",0.0425112408996736,0,1,FALSE,TRUE
"midlands","beta18",0.0588091711387694,0,1,FALSE,TRUE
"midlands","beta19",0.0519660140379124,0,1,FALSE,TRUE
"midlands","beta2",0.0256084419561547,0,1,FALSE,TRUE
"midlands","beta20",0.0779188805541935,0,1,FALSE,TRUE
"midlands","beta21",0.11084975982306,0,1,FALSE,TRUE
"midlands","beta22",0.116579586921446,0,1,FALSE,TRUE
"midlands","beta23",0.112311897591101,0,1,FALSE,TRUE
"midlands","beta24",0.0856361659552495,0,1,FALSE,TRUE
"midlands","beta3",0.022985684676467,0,1,FALSE,TRUE
"midlands","beta4",0.0344219262875341,0,1,FALSE,TRUE
"midlands","beta5",0.0301318568172947,0,1,FALSE,TRUE
"midlands","beta6",0.0310541233214027,0,1,FALSE,TRUE
"midlands","beta7",0.0340207633950604,0,1,FALSE,TRUE
"midlands","beta8",0.0652590114628888,0,1,FALSE,TRUE
"midlands","beta9",0.0521847725595186,0,1,FALSE,TRUE
"midlands","eps",0.521545940869338,0,1,FALSE,TRUE
"midlands","m_CHR",6.74996776364643e-06,0,1,FALSE,TRUE
"midlands","m_CHW",1.82937948897992e-06,0,1,FALSE,TRUE
"midlands","mu_D",0.45625828262871,0,1,FALSE,TRUE
"midlands","mu_D_2",0.893816184060756,0,1,FALSE,TRUE
"midlands","mu_gamma_H",0.998292114881248,0,2,FALSE,TRUE
"midlands","mu_gamma_H_2",0.817693504517258,0,2,FALSE,TRUE
"midlands","mu_gamma_H_3",0.531246626030546,0,2,FALSE,TRUE
"midlands","p_G_D",0.0217099921085207,0,1,FALSE,TRUE
"midlands","p_G_D_CHR",0.401303064874332,0,1,FALSE,TRUE
"midlands","p_H",0.408237023653427,0,1,FALSE,TRUE
"midlands","p_H_2",0.940942965864298,0,1,FALSE,TRUE
"midlands","p_H_3",0.934798786251552,0,1,FALSE,TRUE
"midlands","p_H_D",0.394166857950464,0,1,FALSE,TRUE
"midlands","p_ICU",0.191399584991993,0,1,FALSE,TRUE
"midlands","p_ICU_2",0.12226794773724,0,1,FALSE,TRUE
"midlands","p_ICU_D",0.635623405288053,0,1,FALSE,TRUE
"midlands","p_NC",0.00432376332993113,0,1,FALSE,TRUE
"midlands","p_NC_weekend",0.00279460745311362,0,1,FALSE,TRUE
"midlands","p_W_D",0.31710827134317,0,1,FALSE,TRUE
"midlands","rho_pillar2_tests",0.00577390456046285,0,1,FALSE,TRUE
"midlands","start_date",32,1,75,TRUE,TRUE
"london","alpha_D",0.282950633580636,0,1,FALSE,TRUE
"london","alpha_H",0.0160093805232306,0,1,FALSE,TRUE
"london","beta1",0.0887433816528726,0,1,FALSE,TRUE
"london","beta10",0.0587205575810725,0,1,FALSE,TRUE
"london","beta11",0.045706346460925,0,1,FALSE,TRUE
"london","beta12",0.0403802579246357,0,1,FALSE,TRUE
"london","beta13",0.0586127925237221,0,1,FALSE,TRUE
"london","beta14",0.0817261253321295,0,1,FALSE,TRUE
"london","beta15",0.0641719694708981,0,1,FALSE,TRUE
"london","beta16",0.0365201203407811,0,1,FALSE,TRUE
"london","beta17",0.0541466528085646,0,1,FALSE,TRUE
"london","beta18",0.0650877909617919,0,1,FALSE,TRUE
"london","beta19",0.0687870567210079,0,1,FALSE,TRUE
"london","beta2",0.0331073361445389,0,1,FALSE,TRUE
