"date","region","vaccine","age_band_min","age_band_max","first_dose","second_dose"
2020-12-08,"Wales","Pfizer",40,44,178,0
2020-12-08,"Wales","Pfizer",45,49,267,0
2020-12-08,"Wales","Pfizer",50,54,267,0
2020-12-08,"Wales","Pfizer",55,59,284,0
2020-12-08,"Wales","Pfizer",60,64,147,0
2020-12-08,"Wales","Pfizer",65,69,36,0
2020-12-08,"Wales","Pfizer",70,74,18,0
2020-12-08,"Wales","Pfizer",75,79,0,0
2020-12-08,"Wales","Pfizer",80,120,0,0
2020-12-08,"Wales","Novavax",35,39,0,0
2020-12-08,"Wales","Novavax",40,44,0,0
2020-12-08,"Wales","Novavax",45,49,0,0
2020-12-08,"Wales","Novavax",55,59,0,0
2020-12-08,"Wales","Novavax",60,64,0,0
2020-12-08,"Wales","Novavax",70,74,0,0
2020-12-08,"Wales","Novavax",75,79,0,0
2020-12-09,"East of England","Pfizer",15,19,0,0
2020-12-09,"East of England","Pfizer",20,24,10,0
2020-12-09,"East of England","Pfizer",25,29,24,0
2020-12-09,"East of England","Pfizer",30,34,19,0
2020-12-09,"East of England","Pfizer",35,39,45,0
2020-12-09,"East of England","Pfizer",40,44,30,0
2020-12-09,"East of England","Pfizer",45,49,36,0
2020-12-09,"East of England","Pfizer",50,54,48,0
2020-12-09,"East of England","Pfizer",55,59,52,0
2020-12-09,"East of England","Pfizer",60,64,44,0
2020-12-09,"East of England","Pfizer",65,69,17,0
2020-12-09,"East of England","Pfizer",70,74,0,0
2020-12-09,"East of England","Pfizer",75,79,12,0
2020-12-09,"East of England","Pfizer",80,120,1181,0
2020-12-09,"East of England",NA,NA,NA,0,0
2020-12-09,"London","Pfizer",15,19,0,0
2020-12-09,"London","Pfizer",20,24,24,0
2020-12-09,"London","Pfizer",25,29,72,0
2020-12-09,"London","Pfizer",30,34,92,0
2020-12-09,"London","Pfizer",35,39,60,0
2020-12-09,"London","Pfizer",40,44,80,0
2020-12-09,"London","Pfizer",45,49,68,0
2020-12-09,"London","Pfizer",50,54,72,0
2020-12-09,"London","Pfizer",55,59,82,0
2020-12-09,"London","Pfizer",60,64,45,0
2020-12-09,"London","Pfizer",65,69,21,0
2020-12-09,"London","Pfizer",70,74,10,0
2020-12-09,"London","Pfizer",75,79,13,0
2020-12-09,"London","Pfizer",80,120,272,0
2020-12-09,"London",NA,NA,NA,0,0
2020-12-09,"Midlands","Pfizer",15,19,13,0
2020-12-09,"Midlands","Pfizer",20,24,81,0
2020-12-09,"Midlands","Pfizer",25,29,189,0
2020-12-09,"Midlands","Pfizer",30,34,190,0
2020-12-09,"Midlands","Pfizer",35,39,205,0
2020-12-09,"Midlands","Pfizer",40,44,233,0
2020-12-09,"Midlands","Pfizer",45,49,269,0
2020-12-09,"Midlands","Pfizer",50,54,313,0
2020-12-09,"Midlands","Pfizer",55,59,371,0
2020-12-09,"Midlands","Pfizer",60,64,206,0
2020-12-09,"Midlands","Pfizer",65,69,54,0
2020-12-09,"Midlands","Pfizer",70,74,17,0
2020-12-09,"Midlands","Pfizer",75,79,0,0
2020-12-09,"Midlands","Pfizer",80,120,213,0
2020-12-09,"Midlands",NA,NA,NA,0,0
2020-12-09,"North East and Yorkshire","Pfizer",15,19,0,0
2020-12-09,"North East and Yorkshire","Pfizer",20,24,33,0
2020-12-09,"North East and Yorkshire","Pfizer",25,29,50,0
2020-12-09,"North East and Yorkshire","Pfizer",30,34,63,0
2020-12-09,"North East and Yorkshire","Pfizer",35,39,79,0
2020-12-09,"North East and Yorkshire","Pfizer",40,44,112,0
2020-12-09,"North East and Yorkshire","Pfizer",45,49,94,0
2020-12-09,"North East and Yorkshire","Pfizer",50,54,182,0
2020-12-09,"North East and Yorkshire","Pfizer",55,59,261,0
2020-12-09,"North East and Yorkshire","Pfizer",60,64,239,0
2020-12-09,"North East and Yorkshire","Pfizer",65,69,63,0
2020-12-09,"North East and Yorkshire","Pfizer",70,74,20,0
2020-12-09,"North East and Yorkshire","Pfizer",75,79,0,0
2020-12-09,"North East and Yorkshire","Pfizer",80,120,229,0
2020-12-09,"North East and Yorkshire",NA,NA,NA,0,0
2020-12-09,"North West","Pfizer",15,19,11,0
2020-12-09,"North West","Pfizer",20,24,59,0
2020-12-09,"North West","Pfizer",25,29,88,0
2020-12-09,"North West","Pfizer",30,34,98,0
2020-12-09,"North West","Pfizer",35,39,137,0
2020-12-09,"North West","Pfizer",40,44,167,0
2020-12-09,"North West","Pfizer",45,49,164,0
2020-12-09,"North West","Pfizer",50,54,195,0
2020-12-09,"North West","Pfizer",55,59,198,0
2020-12-09,"North West","Pfizer",60,64,125,0
2020-12-09,"North West","Pfizer",65,69,53,0
2020-12-09,"North West","Pfizer",70,74,20,0
2020-12-09,"North West","Pfizer",75,79,0,0
2020-12-09,"North West","Pfizer",80,120,169,0
2020-12-09,"North West",NA,NA,NA,0,0
2020-12-09,"Northern Ireland",NA,NA,NA,414,0
2020-12-09,"Scotland","Pfizer",16,19,21,0
2020-12-09,"Scotland","Pfizer",20,24,171,0
2020-12-09,"Scotland","Pfizer",25,29,403,0
2020-12-09,"Scotland","Pfizer",30,34,364,0
2020-12-09,"Scotland","Pfizer",35,39,384,0
2020-12-09,"Scotland","Pfizer",40,44,462,0
2020-12-09,"Scotland","Pfizer",45,49,524,0
2020-12-09,"Scotland","Pfizer",50,54,580,0
2020-12-09,"Scotland","Pfizer",55,59,520,0
2020-12-09,"Scotland","Pfizer",60,64,326,0
2020-12-09,"Scotland","Pfizer",65,69,63,0
2020-12-09,"Scotland","Pfizer",70,74,15,0
2020-12-09,"Scotland","Pfizer",75,79,0,0
2020-12-09,"Scotland","Pfizer",80,120,0,0
2020-12-09,"South East","Pfizer",15,19,0,0
2020-12-09,"South East","Pfizer",20,24,43,0
2020-12-09,"South East","Pfizer",25,29,82,0
2020-12-09,"South East","Pfizer",30,34,92,0
2020-12-09,"South East","Pfizer",35,39,81,0
2020-12-09,"South East","Pfizer",40,44,116,0
2020-12-09,"South East","Pfizer",45,49,165,0
2020-12-09,"South East","Pfizer",50,54,138,0
2020-12-09,"South East","Pfizer",55,59,147,0
2020-12-09,"South East","Pfizer",60,64,102,0
2020-12-09,"South East","Pfizer",65,69,43,0
2020-12-09,"South East","Pfizer",70,74,14,0
2020-12-09,"South East","Pfizer",75,79,0,0
2020-12-09,"South East","Pfizer",80,120,278,0
2020-12-09,"South East",NA,NA,NA,0,0
2020-12-09,"South West","Pfizer",15,19,0,0
2020-12-09,"South West","Pfizer",20,24,21,0
2020-12-09,"South West","Pfizer",25,29,41,0
2020-12-09,"South West","Pfizer",30,34,52,0
2020-12-09,"South West","Pfizer",35,39,51,0
2020-12-09,"South West","Pfizer",40,44,55,0
2020-12-09,"South West","Pfizer",45,49,94,0
2020-12-09,"South West","Pfizer",50,54,99,0
2020-12-09,"South West","Pfizer",55,59,82,0
2020-12-09,"South West","Pfizer",60,64,98,0
2020-12-09,"South West","Pfizer",65,69,31,0
2020-12-09,"South West","Pfizer",70,74,10,0
2020-12-09,"South West","Pfizer",75,79,0,0
2020-12-09,"South West","Pfizer",80,120,85,0
2020-12-09,"South West",NA,NA,NA,0,0
2020-12-09,"Unknown_England","Pfizer",25,29,0,0
2020-12-09,"Unknown_England","Pfizer",30,34,0,0
2020-12-09,"Unknown_England","Pfizer",35,39,0,0
2020-12-09,"Unknown_England","Pfizer",40,44,0,0
2020-12-09,"Unknown_England","Pfizer",45,49,0,0
2020-12-09,"Unknown_England","Pfizer",55,59,0,0
2020-12-09,"Unknown_England","Pfizer",60,64,0,0
2020-12-09,"Unknown_England","Pfizer",70,74,0,0
2020-12-09,"Unknown_England","Pfizer",80,120,0,0
2020-12-09,"Unknown_England",NA,NA,NA,0,0
2020-12-09,"Wales","Janssen",35,39,0,0
2020-12-09,"Wales","Janssen",40,44,0,0
2020-12-09,"Wales","Janssen",45,49,0,0
2020-12-09,"Wales","Janssen",60,64,0,0
2020-12-09,"Wales","Janssen",65,69,0,0
2020-12-09,"Wales","Janssen",70,74,0,0
2020-12-09,"Wales","Pfizer",15,19,0,0
2020-12-09,"Wales","Pfizer",20,24,67,0
2020-12-09,"Wales","Pfizer",25,29,139,0
2020-12-09,"Wales","Pfizer",30,34,175,0
2020-12-09,"Wales","Pfizer",35,39,209,0
2020-12-09,"Wales","Pfizer",40,44,228,0
2020-12-09,"Wales","Pfizer",45,49,247,0
2020-12-09,"Wales","Pfizer",50,54,259,0
2020-12-09,"Wales","Pfizer",55,59,267,0
2020-12-09,"Wales","Pfizer",60,64,169,0
2020-12-09,"Wales","Pfizer",65,69,51,0
2020-12-09,"Wales","Pfizer",70,74,17,0
2020-12-09,"Wales","Pfizer",75,79,0,0
2020-12-09,"Wales","Pfizer",80,120,0,0
2020-12-09,"Wales","Novavax",20,24,0,0
2020-12-09,"Wales","Novavax",45,49,0,0
2020-12-09,"Wales","Novavax",55,59,0,0
2020-12-09,"Wales","Novavax",70,74,0,0
2020-12-09,"Wales","Novavax",75,79,0,0
2020-12-10,"East of England","Pfizer",15,19,0,0
2020-12-10,"East of England","Pfizer",20,24,13,0
2020-12-10,"East of England","Pfizer",25,29,23,0
2020-12-10,"East of England","Pfizer",30,34,22,0
2020-12-10,"East of England","Pfizer",35,39,31,0
2020-12-10,"East of England","Pfizer",40,44,47,0
2020-12-10,"East of England","Pfizer",45,49,63,0
2020-12-10,"East of England","Pfizer",50,54,58,0
2020-12-10,"East of England","Pfizer",55,59,56,0
2020-12-10,"East of England","Pfizer",60,64,36,0
2020-12-10,"East of England","Pfizer",65,69,11,0
2020-12-10,"East of England","Pfizer",70,74,0,0
2020-12-10,"East of England","Pfizer",75,79,14,0
2020-12-10,"East of England","Pfizer",80,120,1616,0
2020-12-10,"East of England",NA,NA,NA,0,0
2020-12-10,"London","Pfizer",15,19,0,0
2020-12-10,"London","Pfizer",20,24,24,0
2020-12-10,"London","Pfizer",25,29,148,0
2020-12-10,"London","Pfizer",30,34,154,0
2020-12-10,"London","Pfizer",35,39,87,0
2020-12-10,"London","Pfizer",40,44,119,0
2020-12-10,"London","Pfizer",45,49,115,0
2020-12-10,"London","Pfizer",50,54,133,0
2020-12-10,"London","Pfizer",55,59,95,0
2020-12-10,"London","Pfizer",60,64,58,0
2020-12-10,"London","Pfizer",65,69,28,0
2020-12-10,"London","Pfizer",70,74,26,0
2020-12-10,"London","Pfizer",75,79,38,0
2020-12-10,"London","Pfizer",80,120,431,0
2020-12-10,"London",NA,NA,NA,0,0
2020-12-10,"Midlands","Pfizer",15,19,17,0
2020-12-10,"Midlands","Pfizer",20,24,102,0
2020-12-10,"Midlands","Pfizer",25,29,175,0
2020-12-10,"Midlands","Pfizer",30,34,233,0
2020-12-10,"Midlands","Pfizer",35,39,233,0
2020-12-10,"Midlands","Pfizer",40,44,281,0
2020-12-10,"Midlands","Pfizer",45,49,296,0
2020-12-10,"Midlands","Pfizer",50,54,327,0
2020-12-10,"Midlands","Pfizer",55,59,312,0
2020-12-10,"Midlands","Pfizer",60,64,207,0
2020-12-10,"Midlands","Pfizer",65,69,73,0
2020-12-10,"Midlands","Pfizer",70,74,25,0
2020-12-10,"Midlands","Pfizer",75,79,10,0
2020-12-10,"Midlands","Pfizer",80,120,412,0
2020-12-10,"Midlands",NA,NA,NA,0,0
2020-12-10,"North East and Yorkshire","Pfizer",15,19,0,0
2020-12-10,"North East and Yorkshire","Pfizer",20,24,28,0
2020-12-10,"North East and Yorkshire","Pfizer",25,29,63,0
2020-12-10,"North East and Yorkshire","Pfizer",30,34,78,0
2020-12-10,"North East and Yorkshire","Pfizer",35,39,98,0
2020-12-10,"North East and Yorkshire","Pfizer",40,44,109,0
2020-12-10,"North East and Yorkshire","Pfizer",45,49,114,0
2020-12-10,"North East and Yorkshire","Pfizer",50,54,161,0
2020-12-10,"North East and Yorkshire","Pfizer",55,59,209,0
2020-12-10,"North East and Yorkshire","Pfizer",60,64,266,0
2020-12-10,"North East and Yorkshire","Pfizer",65,69,68,0
2020-12-10,"North East and Yorkshire","Pfizer",70,74,24,0
2020-12-10,"North East and Yorkshire","Pfizer",75,79,0,0
2020-12-10,"North East and Yorkshire","Pfizer",80,120,271,0
2020-12-10,"North East and Yorkshire",NA,NA,NA,0,0
2020-12-10,"North West","Pfizer",15,19,0,0
2020-12-10,"North West","Pfizer",20,24,79,0
2020-12-10,"North West","Pfizer",25,29,142,0
2020-12-10,"North West","Pfizer",30,34,177,0
2020-12-10,"North West","Pfizer",35,39,167,0
2020-12-10,"North West","Pfizer",40,44,191,0
2020-12-10,"North West","Pfizer",45,49,194,0
2020-12-10,"North West","Pfizer",50,54,221,0
2020-12-10,"North West","Pfizer",55,59,216,0
2020-12-10,"North West","Pfizer",60,64,139,0
2020-12-10,"North West","Pfizer",65,69,61,0
2020-12-10,"North West","Pfizer",70,74,22,0
2020-12-10,"North West","Pfizer",75,79,12,0
2020-12-10,"North West","Pfizer",80,120,310,0
2020-12-10,"North West",NA,NA,NA,0,0
2020-12-10,"Northern Ireland",NA,NA,NA,274,0
2020-12-10,"Scotland","Pfizer",16,19,29,0
2020-12-10,"Scotland","Pfizer",20,24,274,0
2020-12-10,"Scotland","Pfizer",25,29,473,0
2020-12-10,"Scotland","Pfizer",30,34,457,0
2020-12-10,"Scotland","Pfizer",35,39,520,0
2020-12-10,"Scotland","Pfizer",40,44,546,0
2020-12-10,"Scotland","Pfizer",45,49,582,0
2020-12-10,"Scotland","Pfizer",50,54,798,0
2020-12-10,"Scotland","Pfizer",55,59,712,0
2020-12-10,"Scotland","Pfizer",60,64,421,0
2020-12-10,"Scotland","Pfizer",65,69,89,0
2020-12-10,"Scotland","Pfizer",70,74,31,0
2020-12-10,"Scotland","Pfizer",75,79,0,0
2020-12-10,"Scotland","Pfizer",80,120,0,0
2020-12-10,"South East","Pfizer",15,19,0,0
2020-12-10,"South East","Pfizer",20,24,60,0
2020-12-10,"South East","Pfizer",25,29,91,0
2020-12-10,"South East","Pfizer",30,34,116,0
2020-12-10,"South East","Pfizer",35,39,117,0
2020-12-10,"South East","Pfizer",40,44,128,0
2020-12-10,"South East","Pfizer",45,49,157,0
2020-12-10,"South East","Pfizer",50,54,153,0
2020-12-10,"South East","Pfizer",55,59,200,0
2020-12-10,"South East","Pfizer",60,64,138,0
2020-12-10,"South East","Pfizer",65,69,41,0
2020-12-10,"South East","Pfizer",70,74,20,0
2020-12-10,"South East","Pfizer",75,79,12,0
2020-12-10,"South East","Pfizer",80,120,289,0
2020-12-10,"South East",NA,NA,NA,0,0
2020-12-10,"South West","Pfizer",15,19,14,0
2020-12-10,"South West","Pfizer",20,24,42,0
2020-12-10,"South West","Pfizer",25,29,70,0
2020-12-10,"South West","Pfizer",30,34,72,0
2020-12-10,"South West","Pfizer",35,39,57,0
2020-12-10,"South West","Pfizer",40,44,75,0
2020-12-10,"South West","Pfizer",45,49,104,0
2020-12-10,"South West","Pfizer",50,54,101,0
2020-12-10,"South West","Pfizer",55,59,127,0
2020-12-10,"South West","Pfizer",60,64,95,0
2020-12-10,"South West","Pfizer",65,69,25,0
2020-12-10,"South West","Pfizer",70,74,17,0
2020-12-10,"South West","Pfizer",75,79,0,0
2020-12-10,"South West","Pfizer",80,120,95,0
2020-12-10,"South West",NA,NA,NA,0,0
2020-12-10,"Unknown_England","Pfizer",15,19,0,0
2020-12-10,"Unknown_England","Pfizer",20,24,0,0
2020-12-10,"Unknown_England","Pfizer",25,29,0,0
2020-12-10,"Unknown_England","Pfizer",30,34,0,0
2020-12-10,"Unknown_England","Pfizer",35,39,0,0
2020-12-10,"Unknown_England","Pfizer",40,44,0,0
2020-12-10,"Unknown_England","Pfizer",45,49,0,0
2020-12-10,"Unknown_England","Pfizer",50,54,0,0
2020-12-10,"Unknown_England","Pfizer",55,59,0,0
2020-12-10,"Unknown_England","Pfizer",80,120,0,0
2020-12-10,"Unknown_England",NA,NA,NA,0,0
2020-12-10,"Wales","Janssen",30,34,0,0
2020-12-10,"Wales","Janssen",35,39,0,0
2020-12-10,"Wales","Janssen",40,44,0,0
2020-12-10,"Wales","Janssen",45,49,0,0
2020-12-10,"Wales","Janssen",55,59,0,0
2020-12-10,"Wales","Janssen",60,64,0,0
2020-12-10,"Wales","Janssen",70,74,0,0
2020-12-10,"Wales","Pfizer",15,19,0,0
2020-12-10,"Wales","Pfizer",20,24,78,0
2020-12-10,"Wales","Pfizer",25,29,146,0
2020-12-10,"Wales","Pfizer",30,34,174,0
2020-12-10,"Wales","Pfizer",35,39,203,0
2020-12-10,"Wales","Pfizer",40,44,236,0
2020-12-10,"Wales","Pfizer",45,49,271,0
2020-12-10,"Wales","Pfizer",50,54,291,0
2020-12-10,"Wales","Pfizer",55,59,254,0
2020-12-10,"Wales","Pfizer",60,64,172,0
2020-12-10,"Wales","Pfizer",65,69,48,0
2020-12-10,"Wales","Pfizer",70,74,13,0
2020-12-10,"Wales","Pfizer",75,79,0,0
2020-12-10,"Wales","Pfizer",80,120,0,0
2020-12-10,"Wales","Novavax",45,49,0,0
2020-12-10,"Wales","Novavax",55,59,0,0
2020-12-10,"Wales","Novavax",65,69,0,0
2020-12-11,"East of England","Pfizer",15,19,0,0
2020-12-11,"East of England","Pfizer",20,24,21,0
2020-12-11,"East of England","Pfizer",25,29,29,0
2020-12-11,"East of England","Pfizer",30,34,48,0
2020-12-11,"East of England","Pfizer",35,39,37,0
2020-12-11,"East of England","Pfizer",40,44,48,0
2020-12-11,"East of England","Pfizer",45,49,65,0
2020-12-11,"East of England","Pfizer",50,54,64,0
2020-12-11,"East of England","Pfizer",55,59,45,0
2020-12-11,"East of England","Pfizer",60,64,49,0
2020-12-11,"East of England","Pfizer",65,69,17,0
2020-12-11,"East of England","Pfizer",70,74,12,0
2020-12-11,"East of England","Pfizer",75,79,11,0
2020-12-11,"East of England","Pfizer",80,120,1484,0
2020-12-11,"East of England",NA,NA,NA,0,0
2020-12-11,"London","Pfizer",15,19,0,0
2020-12-11,"London","Pfizer",20,24,33,0
2020-12-11,"London","Pfizer",25,29,127,0
2020-12-11,"London","Pfizer",30,34,104,0
2020-12-11,"London","Pfizer",35,39,82,0
2020-12-11,"London","Pfizer",40,44,108,0
2020-12-11,"London","Pfizer",45,49,129,0
2020-12-11,"London","Pfizer",50,54,116,0
2020-12-11,"London","Pfizer",55,59,104,0
2020-12-11,"London","Pfizer",60,64,72,0
2020-12-11,"London","Pfizer",65,69,40,0
2020-12-11,"London","Pfizer",70,74,22,0
2020-12-11,"London","Pfizer",75,79,39,0
2020-12-11,"London","Pfizer",80,120,465,0
2020-12-11,"London",NA,NA,NA,0,0
2020-12-11,"Midlands","Pfizer",15,19,16,0
2020-12-11,"Midlands","Pfizer",20,24,67,0
2020-12-11,"Midlands","Pfizer",25,29,156,0
2020-12-11,"Midlands","Pfizer",30,34,206,0
2020-12-11,"Midlands","Pfizer",35,39,184,0
2020-12-11,"Midlands","Pfizer",40,44,209,0
2020-12-11,"Midlands","Pfizer",45,49,268,0
2020-12-11,"Midlands","Pfizer",50,54,388,0
2020-12-11,"Midlands","Pfizer",55,59,293,0
2020-12-11,"Midlands","Pfizer",60,64,212,0
2020-12-11,"Midlands","Pfizer",65,69,63,0
2020-12-11,"Midlands","Pfizer",70,74,28,0
2020-12-11,"Midlands","Pfizer",75,79,16,0
2020-12-11,"Midlands","Pfizer",80,120,569,0
2020-12-11,"Midlands",NA,NA,NA,0,0
2020-12-11,"North East and Yorkshire","Pfizer",15,19,0,0
2020-12-11,"North East and Yorkshire","Pfizer",20,24,19,0
2020-12-11,"North East and Yorkshire","Pfizer",25,29,43,0
2020-12-11,"North East and Yorkshire","Pfizer",30,34,68,0
2020-12-11,"North East and Yorkshire","Pfizer",35,39,72,0
2020-12-11,"North East and Yorkshire","Pfizer",40,44,96,0
2020-12-11,"North East and Yorkshire","Pfizer",45,49,103,0
2020-12-11,"North East and Yorkshire","Pfizer",50,54,132,0
2020-12-11,"North East and Yorkshire","Pfizer",55,59,199,0
2020-12-11,"North East and Yorkshire","Pfizer",60,64,231,0
2020-12-11,"North East and Yorkshire","Pfizer",65,69,74,0
2020-12-11,"North East and Yorkshire","Pfizer",70,74,13,0
2020-12-11,"North East and Yorkshire","Pfizer",75,79,0,0
2020-12-11,"North East and Yorkshire","Pfizer",80,120,270,0
2020-12-11,"North East and Yorkshire",NA,NA,NA,0,0
2020-12-11,"North West","Pfizer",15,19,0,0
2020-12-11,"North West","Pfizer",20,24,76,0
2020-12-11,"North West","Pfizer",25,29,154,0
2020-12-11,"North West","Pfizer",30,34,159,0
2020-12-11,"North West","Pfizer",35,39,136,0
