"date","region","vaccine","age_band_min","age_band_max","first_dose","second_dose"
2020-12-08,"East of England","Pfizer",15,19,0,0
2020-12-08,"East of England","Pfizer",20,24,0,0
2020-12-08,"East of England","Pfizer",25,29,0,0
2020-12-08,"East of England","Pfizer",30,34,0,0
2020-12-08,"East of England","Pfizer",35,39,18,0
2020-12-08,"East of England","Pfizer",40,44,16,0
2020-12-08,"East of England","Pfizer",45,49,22,0
2020-12-08,"East of England","Pfizer",50,54,30,0
2020-12-08,"East of England","Pfizer",55,59,20,0
2020-12-08,"East of England","Pfizer",60,64,0,0
2020-12-08,"East of England","Pfizer",65,69,0,0
2020-12-08,"East of England","Pfizer",70,74,0,0
2020-12-08,"East of England","Pfizer",75,79,0,0
2020-12-08,"East of England","Pfizer",80,120,268,0
2020-12-08,"East of England",NA,NA,NA,0,0
2020-12-08,"London","Pfizer",20,24,0,0
2020-12-08,"London","Pfizer",25,29,38,0
2020-12-08,"London","Pfizer",30,34,25,0
2020-12-08,"London","Pfizer",35,39,20,0
2020-12-08,"London","Pfizer",40,44,33,0
2020-12-08,"London","Pfizer",45,49,24,0
2020-12-08,"London","Pfizer",50,54,45,0
2020-12-08,"London","Pfizer",55,59,26,0
2020-12-08,"London","Pfizer",60,64,24,0
2020-12-08,"London","Pfizer",65,69,0,0
2020-12-08,"London","Pfizer",70,74,11,0
2020-12-08,"London","Pfizer",75,79,16,0
2020-12-08,"London","Pfizer",80,120,313,0
2020-12-08,"London",NA,NA,NA,0,0
2020-12-08,"Midlands","Pfizer",15,19,0,0
2020-12-08,"Midlands","Pfizer",20,24,35,0
2020-12-08,"Midlands","Pfizer",25,29,67,0
2020-12-08,"Midlands","Pfizer",30,34,74,0
2020-12-08,"Midlands","Pfizer",35,39,83,0
2020-12-08,"Midlands","Pfizer",40,44,108,0
2020-12-08,"Midlands","Pfizer",45,49,115,0
2020-12-08,"Midlands","Pfizer",50,54,152,0
2020-12-08,"Midlands","Pfizer",55,59,159,0
2020-12-08,"Midlands","Pfizer",60,64,98,0
2020-12-08,"Midlands","Pfizer",65,69,28,0
2020-12-08,"Midlands","Pfizer",70,74,13,0
2020-12-08,"Midlands","Pfizer",80,120,126,0
2020-12-08,"Midlands",NA,NA,NA,0,0
2020-12-08,"North East and Yorkshire","Pfizer",15,19,0,0
2020-12-08,"North East and Yorkshire","Pfizer",20,24,28,0
2020-12-08,"North East and Yorkshire","Pfizer",25,29,37,0
2020-12-08,"North East and Yorkshire","Pfizer",30,34,61,0
2020-12-08,"North East and Yorkshire","Pfizer",35,39,64,0
2020-12-08,"North East and Yorkshire","Pfizer",40,44,98,0
2020-12-08,"North East and Yorkshire","Pfizer",45,49,122,0
2020-12-08,"North East and Yorkshire","Pfizer",50,54,179,0
2020-12-08,"North East and Yorkshire","Pfizer",55,59,164,0
2020-12-08,"North East and Yorkshire","Pfizer",60,64,89,0
2020-12-08,"North East and Yorkshire","Pfizer",65,69,50,0
2020-12-08,"North East and Yorkshire","Pfizer",70,74,24,0
2020-12-08,"North East and Yorkshire","Pfizer",75,79,0,0
2020-12-08,"North East and Yorkshire","Pfizer",80,120,185,0
2020-12-08,"North East and Yorkshire",NA,NA,NA,0,0
2020-12-08,"North West","Pfizer",15,19,0,0
2020-12-08,"North West","Pfizer",20,24,20,0
2020-12-08,"North West","Pfizer",25,29,36,0
2020-12-08,"North West","Pfizer",30,34,43,0
2020-12-08,"North West","Pfizer",35,39,45,0
2020-12-08,"North West","Pfizer",40,44,55,0
2020-12-08,"North West","Pfizer",45,49,67,0
2020-12-08,"North West","Pfizer",50,54,94,0
2020-12-08,"North West","Pfizer",55,59,121,0
2020-12-08,"North West","Pfizer",60,64,64,0
2020-12-08,"North West","Pfizer",65,69,41,0
2020-12-08,"North West","Pfizer",70,74,48,0
2020-12-08,"North West","Pfizer",75,79,24,0
2020-12-08,"North West","Pfizer",80,120,127,0
2020-12-08,"North West",NA,NA,NA,0,0
2020-12-08,"Northern Ireland",NA,NA,NA,290,0
2020-12-08,"Scotland","Pfizer",16,19,0,0
2020-12-08,"Scotland","Pfizer",20,24,63,0
2020-12-08,"Scotland","Pfizer",25,29,159,0
2020-12-08,"Scotland","Pfizer",30,34,159,0
2020-12-08,"Scotland","Pfizer",35,39,227,0
2020-12-08,"Scotland","Pfizer",40,44,243,0
2020-12-08,"Scotland","Pfizer",45,49,261,0
2020-12-08,"Scotland","Pfizer",50,54,311,0
2020-12-08,"Scotland","Pfizer",55,59,287,0
2020-12-08,"Scotland","Pfizer",60,64,148,0
2020-12-08,"Scotland","Pfizer",65,69,29,0
2020-12-08,"Scotland","Pfizer",70,74,0,0
2020-12-08,"Scotland","Pfizer",80,120,0,0
2020-12-08,"South East","Pfizer",15,19,0,0
2020-12-08,"South East","Pfizer",20,24,28,0
2020-12-08,"South East","Pfizer",25,29,61,0
2020-12-08,"South East","Pfizer",30,34,85,0
2020-12-08,"South East","Pfizer",35,39,79,0
2020-12-08,"South East","Pfizer",40,44,91,0
2020-12-08,"South East","Pfizer",45,49,121,0
2020-12-08,"South East","Pfizer",50,54,134,0
2020-12-08,"South East","Pfizer",55,59,111,0
2020-12-08,"South East","Pfizer",60,64,72,0
2020-12-08,"South East","Pfizer",65,69,31,0
2020-12-08,"South East","Pfizer",70,74,10,0
2020-12-08,"South East","Pfizer",75,79,11,0
2020-12-08,"South East","Pfizer",80,120,364,0
2020-12-08,"South East",NA,NA,NA,0,0
2020-12-08,"South West","Pfizer",15,19,0,0
2020-12-08,"South West","Pfizer",20,24,0,0
2020-12-08,"South West","Pfizer",25,29,12,0
2020-12-08,"South West","Pfizer",30,34,10,0
2020-12-08,"South West","Pfizer",35,39,18,0
2020-12-08,"South West","Pfizer",40,44,25,0
2020-12-08,"South West","Pfizer",45,49,30,0
2020-12-08,"South West","Pfizer",50,54,39,0
2020-12-08,"South West","Pfizer",55,59,49,0
2020-12-08,"South West","Pfizer",60,64,31,0
2020-12-08,"South West","Pfizer",65,69,0,0
2020-12-08,"South West","Pfizer",70,74,0,0
2020-12-08,"South West","Pfizer",75,79,0,0
2020-12-08,"South West","Pfizer",80,120,62,0
2020-12-08,"South West",NA,NA,NA,0,0
2020-12-08,"Unknown_England","Pfizer",25,29,0,0
2020-12-08,"Unknown_England","Pfizer",30,34,0,0
2020-12-08,"Unknown_England","Pfizer",35,39,0,0
2020-12-08,"Unknown_England","Pfizer",40,44,0,0
2020-12-08,"Unknown_England","Pfizer",50,54,0,0
2020-12-08,"Unknown_England","Pfizer",80,120,0,0
2020-12-08,"Unknown_England",NA,NA,NA,0,0
2020-12-08,"Wales","Janssen",30,34,0,0
2020-12-08,"Wales","Janssen",45,49,0,0
2020-12-08,"Wales","Janssen",50,54,0,0
2020-12-08,"Wales","Janssen",60,64,0,0
2020-12-08,"Wales","Janssen",65,69,0,0
2020-12-08,"Wales","Janssen",70,74,0,0
2020-12-08,"Wales","Pfizer",15,19,0,0
2020-12-08,"Wales","Pfizer",20,24,53,0
2020-12-08,"Wales","Pfizer",25,29,119,0
2020-12-08,"Wales","Pfizer",30,34,128,0
2020-12-08,"Wales","Pfizer",35,39,168,0
