"date","age_group","age_low","age_up","region","n_positive","total_samples","assay"
"2020-07-26","15_64",15,64,"london",1,10,"euro_immun"
"2020-07-27","15_64",15,64,"london",2,7,"euro_immun"
"2020-07-28","15_64",15,64,"london",0,2,"euro_immun"
"2020-07-30","15_64",15,64,"london",26,270,"euro_immun"
"2020-07-31","15_64",15,64,"london",23,232,"euro_immun"
"2020-08-02","15_64",15,64,"london",16,219,"euro_immun"
"2020-08-13","15_64",15,64,"london",30,327,"euro_immun"
"2020-08-14","15_64",15,64,"london",18,246,"euro_immun"
"2020-08-16","15_64",15,64,"london",23,295,"euro_immun"
"2020-08-19","15_64",15,64,"london",1,17,"euro_immun"
"2020-08-21","15_64",15,64,"london",1,3,"euro_immun"
"2020-08-24","15_64",15,64,"london",1,11,"euro_immun"
"2020-08-27","15_64",15,64,"london",50,470,"euro_immun"
"2020-08-28","15_64",15,64,"london",47,376,"euro_immun"
"2020-09-11","15_64",15,64,"london",51,569,"euro_immun"
"2020-09-12","15_64",15,64,"london",14,184,"euro_immun"
"2020-09-13","15_64",15,64,"london",24,187,"euro_immun"
"2020-09-16","15_64",15,64,"london",3,38,"euro_immun"
"2020-09-18","15_64",15,64,"london",4,74,"euro_immun"
"2020-09-25","15_64",15,64,"london",44,417,"euro_immun"
"2020-09-27","15_64",15,64,"london",20,242,"euro_immun"
"2020-09-28","15_64",15,64,"london",24,188,"euro_immun"
"2020-10-07","15_64",15,64,"london",69,611,"euro_immun"
"2020-10-08","15_64",15,64,"london",18,291,"euro_immun"
"2020-10-14","15_64",15,64,"london",3,46,"euro_immun"
"2020-10-15","15_64",15,64,"london",5,59,"euro_immun"
"2020-10-16","15_64",15,64,"london",0,14,"euro_immun"
"2020-10-17","15_64",15,64,"london",0,1,"euro_immun"
"2020-10-18","15_64",15,64,"london",0,10,"euro_immun"
"2020-10-21","15_64",15,64,"london",37,402,"euro_immun"
"2020-10-22","15_64",15,64,"london",9,120,"euro_immun"
"2020-10-23","15_64",15,64,"london",25,308,"euro_immun"
"2020-10-29","15_64",15,64,"london",0,12,"euro_immun"
"2020-10-31","15_64",15,64,"london",2,14,"euro_immun"
"2020-11-01","15_64",15,64,"london",21,216,"euro_immun"
"2020-11-07","15_64",15,64,"london",21,220,"euro_immun"
"2020-11-08","15_64",15,64,"london",1,8,"euro_immun"
"2020-11-09","15_64",15,64,"london",2,12,"euro_immun"
