"region","name","alpha_D","alpha_H","beta17","beta18","beta19","beta20","beta21","beta22","beta23","beta24","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","strain_seed_date","strain_transmission_2"
"east_of_england","alpha_D",0.0495432095839364,1.63608907779725e-05,0.000158168789672219,-1.45820995356542e-05,3.72803703999196e-06,8.34893937415826e-05,-0.000234272900389294,3.47183676803515e-05,9.99818486916963e-05,-0.000280306938895174,0.0241524163700641,-6.34984409166931e-08,5.61069288254614e-08,-0.00211713479643235,-0.00081621797443686,-0.00357495442034886,0.00146984584061066,-0.0020210960157038,-0.000677781297565932,0.00447107555293271,-0.000904653125284947,0.000730348166964486,0.000174336824783817,0.00570043338204303,-0.00334620962631957,-0.000450755065957701,0.00963139296098243,3.14739256041505e-05,6.43546681397821e-06,-0.000928856642798625,5.16092172131563e-05,0.00718792937844218,0.00258017246814169
"east_of_england","alpha_H",1.63608907779725e-05,1.46214276830272e-06,6.64036193935643e-07,-3.93685208668067e-07,-4.22687811436716e-07,1.43711460474161e-06,8.02163524241297e-07,-3.59881210363432e-08,3.8449332416797e-06,3.62846651328374e-08,4.36642737435686e-06,-5.58671290013807e-11,1.45236834635511e-10,4.36146857815515e-06,1.91837160356775e-05,5.88561989181034e-06,1.9034107115275e-07,-1.24897033423575e-05,-1.99349789607966e-08,3.10776956853084e-05,5.18867593435556e-06,-6.33024921620033e-06,-2.54592017845907e-06,-2.41398739566031e-06,-6.03989229579591e-07,-2.24751917453251e-06,9.28376017533962e-06,6.01600002679987e-08,2.44519208641934e-08,-7.78868145786332e-06,6.98785244763586e-08,-0.000676451259309613,-3.69308424257779e-05
"east_of_england","beta17",0.000158168789672219,6.64036193935643e-07,3.10560802343951e-06,-3.00310429352751e-06,2.22614567857856e-06,6.83092464707185e-07,1.08564699057934e-06,-8.2439022710039e-07,4.00287134779404e-06,-4.90363557285624e-07,8.48058931243243e-05,-3.77832002525434e-11,1.22081620863638e-09,-1.79439722177353e-06,2.59436917561679e-05,-1.55826383333108e-05,3.98437173472917e-05,-2.33853476215749e-05,-5.22902895599031e-06,1.32975546636134e-05,-9.92777402711566e-06,-1.90380612493896e-05,3.04956283336317e-06,5.15707891326421e-05,-1.23905869207218e-05,-4.39432166353847e-06,9.24047094651689e-05,1.91398670977401e-07,6.1871571558274e-08,-3.02659744811278e-05,2.6194125435701e-07,-0.00016428433723929,-3.47152238769893e-05
"east_of_england","beta18",-1.45820995356542e-05,-3.93685208668067e-07,-3.00310429352751e-06,8.34397987876344e-06,-6.62995527546371e-06,1.42783391965792e-06,-1.27974982621203e-06,4.71576752504946e-07,2.64497810085748e-06,2.05724371555049e-06,0.000100518878676857,-6.93260774292635e-10,-1.88970735147523e-09,-7.9673236244078e-06,-2.62951344461762e-05,-1.24360743156367e-06,-5.25492648631268e-05,2.21895018266604e-05,9.32746215091205e-06,5.68312366925212e-06,5.97391919275321e-06,5.27153882690448e-05,-1.31052554185057e-05,-6.55245842831638e-05,7.37814954794406e-06,2.19713400030943e-06,-7.50447799772321e-05,-1.34708267155975e-07,2.6668050072582e-08,4.91575678526834e-05,-6.04313071871108e-08,-0.0024474535443478,1.14438054280334e-05
"east_of_england","beta19",3.72803703999196e-06,-4.22687811436716e-07,2.22614567857856e-06,-6.62995527546371e-06,1.01119069544351e-05,-6.81570503633184e-06,-1.31895533381044e-10,-5.53822416163453e-06,-1.01553111819372e-05,-2.78484305904256e-06,-0.0001076832721367,1.1644268776188e-09,1.42287441018356e-09,1.02586379734004e-05,-3.76536269681658e-05,-4.70487426371423e-05,2.80144477725721e-05,4.34318703439127e-06,-1.11329691220902e-05,-6.39431181093203e-05,1.00264994547731e-05,-2.78602320712892e-05,-8.0211397363083e-06,6.94025122833932e-05,-1.08592341581395e-06,6.78519156816573e-08,-1.19366323826624e-05,1.7013002016419e-07,-6.08562699183599e-08,-8.6401089145362e-05,-3.31796380425142e-08,0.0037867717132044,0.000111039667562988
"east_of_england","beta20",8.34893937415826e-05,1.43711460474161e-06,6.83092464707185e-07,1.42783391965792e-06,-6.81570503633184e-06,1.06554696810688e-05,9.46332738475088e-07,7.29031796711675e-06,1.43794780684426e-05,3.80360983970881e-06,0.000159852577077485,-9.0405916837191e-10,-3.51597323791308e-10,-5.73826644993328e-06,8.74243154749841e-05,6.10207099756303e-05,2.39580063307809e-05,-3.47898839338868e-05,8.7357411767357e-06,0.000104383951481225,-8.46039900162352e-06,-1.58442670599869e-05,6.12032296198132e-06,-2.33317026329303e-05,-2.18654081591363e-06,-2.70790451481877e-06,0.000108713738228188,1.38568438852598e-07,1.2002944756408e-07,0.000107265734119816,-7.97450430939974e-08,-0.00407843442071181,-0.000204418040025476
"east_of_england","beta21",-0.000234272900389294,8.02163524241297e-07,1.08564699057934e-06,-1.27974982621203e-06,-1.31895533381044e-10,9.46332738475088e-07,1.35731257758439e-05,-1.1872867134393e-06,4.81403127823706e-06,4.0415069146156e-06,-0.000135290532697724,-1.813866124768e-11,8.24079352386313e-10,2.52157084653503e-05,4.45855279267903e-05,0.000151156797710416,2.99654007535989e-05,-2.22652280356764e-05,2.4176056434333e-06,6.66347996360232e-05,-2.53559437155763e-05,-5.70800456659607e-06,-5.92896971024661e-06,-5.16566175930897e-05,5.010883621937e-05,1.49135058382079e-06,2.47091975481657e-05,-1.78523268134433e-07,-5.37964837807143e-08,0.000167521841117972,-5.51248232051888e-07,-0.00384670993956729,-0.000205262462928085
"east_of_england","beta22",3.47183676803515e-05,-3.59881210363432e-08,-8.2439022710039e-07,4.71576752504946e-07,-5.53822416163453e-06,7.29031796711675e-06,-1.1872867134393e-06,2.31572068559375e-05,-1.89515366639103e-06,3.43489996370252e-06,0.000303410854877758,-1.20512953277637e-09,-2.04856149796408e-10,-1.76508855481855e-05,8.7047141229769e-05,9.76615332541453e-05,-5.85717999544346e-06,-8.24979932921237e-06,4.72339632635744e-06,1.74910555492075e-06,2.2179284495732e-06,-8.25403166803313e-05,2.12837955535235e-05,-5.88713164447082e-05,5.40594760860517e-06,-6.90177801603736e-07,6.34710071193356e-05,-2.08192944574477e-07,-5.54147331595905e-08,0.000170247283876957,-1.99090395357539e-07,-0.00192809354382579,-0.000127312679880983
"east_of_england","beta23",9.99818486916963e-05,3.8449332416797e-06,4.00287134779404e-06,2.64497810085748e-06,-1.01553111819372e-05,1.43794780684426e-05,4.81403127823706e-06,-1.89515366639103e-06,5.66406462307395e-05,2.75292820851135e-06,-4.68907613545422e-05,1.74716907813097e-09,-1.47955114545092e-09,1.74882230739773e-05,0.000149084585162662,-4.16731105995038e-05,8.64654446770881e-05,-0.000107588394951479,6.59972949652177e-06,0.000239002573504527,-4.0919504120787e-05,8.5457652475624e-05,7.12970570153112e-06,3.23599521095263e-05,2.62366982878658e-05,-8.19326121185042e-06,0.000248405105706894,6.41282477360728e-07,6.56288487930583e-07,-0.000103339518082739,-4.33125726578012e-07,-0.00716908684029154,-0.000365330624650897
"east_of_england","beta24",-0.000280306938895174,3.62846651328374e-08,-4.90363557285624e-07,2.05724371555049e-06,-2.78484305904256e-06,3.80360983970881e-06,4.0415069146156e-06,3.43489996370252e-06,2.75292820851135e-06,1.86701760977528e-05,-8.66260489395989e-06,-1.30877216593109e-09,8.20308288713193e-10,3.54853708623386e-05,6.41707523638856e-05,0.000118103805150728,-4.4387009651402e-05,1.77246870747064e-05,5.42206455810111e-06,-9.24813005376908e-05,1.75261863372027e-05,-9.9099729228591e-05,-1.35095647564838e-05,-8.84885478257058e-05,6.01757470258562e-05,3.39362314068007e-06,-6.24448700913087e-05,-9.42097507979939e-08,2.56351598136106e-08,0.000138931806598057,-1.0006502857216e-06,-0.00305899976872669,-0.000145720125965596
