"region","name","initial","min","max","discrete","include"
"east_of_england","alpha_D",0.0949560250788708,0,1,FALSE,TRUE
"east_of_england","alpha_H",0.00188850300590845,0,1,FALSE,TRUE
"east_of_england","beta1",0.147131262109556,0,1,FALSE,TRUE
"east_of_england","beta10",0.0448570351541107,0,1,FALSE,TRUE
"east_of_england","beta11",0.0420228071488829,0,1,FALSE,TRUE
"east_of_england","beta12",0.0408709216141206,0,1,FALSE,TRUE
"east_of_england","beta13",0.0475802744950758,0,1,FALSE,TRUE
"east_of_england","beta14",0.0679191247826009,0,1,FALSE,TRUE
"east_of_england","beta15",0.0552468312450203,0,1,FALSE,TRUE
"east_of_england","beta16",0.0362258571955843,0,1,FALSE,TRUE
"east_of_england","beta17",0.0382183331695035,0,1,FALSE,TRUE
"east_of_england","beta18",0.0643943843624758,0,1,FALSE,TRUE
"east_of_england","beta19",0.0482098368428576,0,1,FALSE,TRUE
"east_of_england","beta2",0.0117397839022428,0,1,FALSE,TRUE
"east_of_england","beta20",0.0457405128600406,0,1,FALSE,TRUE
"east_of_england","beta21",0.0511823649347777,0,1,FALSE,TRUE
"east_of_england","beta22",0.0655852752931573,0,1,FALSE,TRUE
"east_of_england","beta23",0.0781448642041369,0,1,FALSE,TRUE
"east_of_england","beta24",0.0385989585457566,0,1,FALSE,TRUE
"east_of_england","beta3",0.0327447009984292,0,1,FALSE,TRUE
"east_of_england","beta4",0.0261256449941842,0,1,FALSE,TRUE
"east_of_england","beta5",0.0299110447119995,0,1,FALSE,TRUE
"east_of_england","beta6",0.037002321212687,0,1,FALSE,TRUE
"east_of_england","beta7",0.032013795262663,0,1,FALSE,TRUE
"east_of_england","beta8",0.0510473291895624,0,1,FALSE,TRUE
"east_of_england","beta9",0.0628454040784667,0,1,FALSE,TRUE
"east_of_england","eps",0.288650964576001,0,1,FALSE,TRUE
"east_of_england","m_CHR",7.89337809224789e-06,0,1,FALSE,TRUE
"east_of_england","m_CHW",7.80884630546792e-06,0,1,FALSE,TRUE
"east_of_england","mu_D",0.248545184081799,0,1,FALSE,TRUE
"east_of_england","mu_D_2",0.710779346395049,0,1,FALSE,TRUE
"east_of_england","mu_gamma_H",0.983822971871238,0,2,FALSE,TRUE
