"date","region","death3","death_chr","death_comm","ons_death_carehome","ons_death_noncarehome","phe_admissions","phe_occupied_mv_beds","phe_patients","react_positive","react_samples","pillar2_positives_pcr_all_over25","pillar2_negatives_total_pcr_over25","n_symp_delta_variant","n_symp_non_delta_variant","death_0","death_55","death_65","death_75","icu","general","admitted","new","all_admission","death2","pillar2_positives_over25","pillar2_negatives_over25","pillar2_positives","pillar2_negatives","positives","negatives","positives_over25","pillar2_positives_pcr_all","pillar2_negatives_total_pcr","pillar2_positives_symp_pcr_only","pillar2_positives_symp_pcr_only_over25","n_delta_variant","n_non_delta_variant"
"2020-04-16","east_of_england",81,6,3,30,3,133,308,1577,NA,NA,NA,NA,NA,NA,3,4,8,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-17","east_of_england",83,7,1,45,6,154,320,1534,NA,NA,NA,NA,NA,NA,3,11,10,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-18","east_of_england",66,5,5,39,5,191,312,1529,NA,NA,NA,NA,NA,NA,NA,3,9,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-19","east_of_england",69,5,4,24,4,148,306,1579,NA,NA,NA,NA,NA,NA,1,7,6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-20","east_of_england",67,3,3,26,5,126,294,1587,NA,NA,NA,NA,NA,NA,2,4,6,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-21","east_of_england",70,5,8,27,3,148,279,1544,NA,NA,NA,NA,NA,NA,2,2,12,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-22","east_of_england",66,10,3,41,2,120,276,1511,NA,NA,NA,NA,NA,NA,1,5,8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-23","east_of_england",46,11,5,34,1,128,267,1472,NA,NA,NA,NA,NA,NA,2,4,4,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-24","east_of_england",68,11,5,35,5,141,263,1404,NA,NA,NA,NA,NA,NA,NA,6,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-25","east_of_england",50,7,5,31,4,128,260,1384,NA,NA,NA,NA,NA,NA,2,5,8,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-26","east_of_england",49,12,3,25,3,148,253,1422,NA,NA,NA,NA,NA,NA,NA,3,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-27","east_of_england",46,11,3,29,3,127,231,1413,NA,NA,NA,NA,NA,NA,NA,4,7,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-28","east_of_england",60,6,3,22,3,184,223,1389,NA,NA,NA,NA,NA,NA,2,4,8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-29","east_of_england",31,14,4,20,5,157,210,1319,NA,NA,NA,NA,NA,NA,NA,4,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-30","east_of_england",42,16,9,30,5,198,202,1253,0,26,NA,NA,NA,NA,NA,3,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-01","east_of_england",54,12,9,25,1,127,193,1211,NA,NA,NA,NA,NA,NA,2,5,8,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-02","east_of_england",24,9,5,18,2,111,183,1190,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-03","east_of_england",37,13,4,25,2,166,179,1223,NA,NA,NA,NA,NA,NA,1,NA,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-04","east_of_england",24,11,1,18,4,106,176,1138,NA,NA,NA,NA,NA,NA,NA,2,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-05","east_of_england",36,12,1,19,NA,90,176,1160,NA,NA,NA,NA,NA,NA,2,2,5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-06","east_of_england",31,14,6,20,3,128,171,1106,NA,NA,NA,NA,NA,NA,NA,1,4,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-07","east_of_england",36,8,4,18,1,116,152,1084,1,432,NA,NA,NA,NA,NA,1,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-08","east_of_england",30,4,2,10,2,70,142,1022,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-09","east_of_england",28,15,1,22,2,101,144,1032,NA,NA,NA,NA,NA,NA,NA,5,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-10","east_of_england",22,10,3,14,4,71,142,1076,NA,NA,NA,NA,NA,NA,NA,2,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-11","east_of_england",16,10,2,14,1,88,137,1069,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-12","east_of_england",20,11,4,18,3,116,134,1049,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-13","east_of_england",23,11,1,13,1,72,129,1014,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-14","east_of_england",19,11,3,20,2,88,125,979,8,3906,NA,NA,NA,NA,NA,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-15","east_of_england",19,10,1,17,NA,92,127,952,NA,NA,NA,NA,NA,NA,NA,1,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-16","east_of_england",21,11,4,12,2,72,125,916,NA,NA,NA,NA,NA,NA,1,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-17","east_of_england",19,9,5,16,1,85,125,934,NA,NA,NA,NA,NA,NA,1,1,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-18","east_of_england",25,9,4,13,NA,81,121,924,NA,NA,NA,NA,NA,NA,NA,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-19","east_of_england",12,6,3,10,1,86,122,913,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-20","east_of_england",25,13,3,17,2,93,113,888,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-21","east_of_england",19,5,1,8,NA,77,109,866,7,9457,NA,NA,NA,NA,NA,2,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-22","east_of_england",14,8,2,6,NA,79,104,831,NA,NA,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-23","east_of_england",12,8,5,10,2,39,98,816,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-24","east_of_england",20,4,2,4,3,52,88,795,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-25","east_of_england",17,8,2,14,1,51,92,798,NA,NA,NA,NA,NA,NA,NA,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-26","east_of_england",13,5,3,6,1,85,86,755,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-27","east_of_england",8,10,1,13,NA,57,85,737,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-28","east_of_england",18,6,1,10,3,53,78,701,1,2777,NA,NA,NA,NA,NA,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-29","east_of_england",14,12,2,9,NA,54,68,603,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-30","east_of_england",9,8,1,6,1,43,65,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-05-31","east_of_england",7,3,NA,9,NA,29,63,597,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-01","east_of_england",10,5,1,5,NA,58,64,614,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-02","east_of_england",13,5,1,6,1,60,61,574,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-03","east_of_england",9,5,1,8,NA,46,60,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-04","east_of_england",9,3,3,6,3,58,54,503,0,63,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-05","east_of_england",11,4,1,7,1,44,49,490,NA,NA,NA,NA,NA,NA,1,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-06","east_of_england",3,5,1,3,1,30,46,503,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-07","east_of_england",8,3,NA,5,NA,32,40,453,NA,NA,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-08","east_of_england",5,4,3,5,NA,28,45,457,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-09","east_of_england",5,2,1,6,NA,44,42,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-10","east_of_england",9,5,NA,8,NA,39,48,390,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-11","east_of_england",2,2,NA,3,NA,42,43,376,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-12","east_of_england",5,3,NA,5,NA,30,41,364,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-13","east_of_england",5,1,NA,NA,NA,32,45,364,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-14","east_of_england",6,2,1,7,1,38,45,348,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-15","east_of_england",6,1,NA,1,NA,57,39,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-16","east_of_england",2,2,NA,5,NA,33,42,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-17","east_of_england",6,1,2,1,2,43,39,387,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-18","east_of_england",2,3,NA,2,NA,38,35,363,4,1567,35,3329,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-19","east_of_england",7,1,NA,5,NA,28,34,393,NA,NA,50,2904,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-20","east_of_england",4,2,2,3,NA,19,31,352,NA,NA,20,1508,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-21","east_of_england",3,1,2,1,NA,22,29,348,NA,NA,34,1441,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-22","east_of_england",6,4,1,1,NA,43,57,369,NA,NA,39,2650,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-23","east_of_england",4,NA,NA,3,NA,21,28,335,NA,NA,23,3375,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-24","east_of_england",4,NA,3,1,2,20,28,346,NA,NA,34,3185,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-25","east_of_england",2,1,NA,5,NA,42,27,327,6,13830,22,3253,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-26","east_of_england",2,NA,2,1,NA,32,24,313,NA,NA,33,3056,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-27","east_of_england",7,1,NA,1,1,15,24,289,NA,NA,15,1748,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-28","east_of_england",7,NA,NA,3,2,9,24,288,NA,NA,10,1585,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-29","east_of_england",4,2,NA,5,1,21,25,291,NA,NA,22,3933,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-06-30","east_of_england",4,1,NA,1,NA,20,24,264,NA,NA,12,4396,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-01","east_of_england",2,1,NA,3,NA,20,23,248,NA,NA,15,4278,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-02","east_of_england",5,2,1,1,NA,22,23,231,7,7754,31,4248,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-03","east_of_england",1,NA,1,1,NA,9,25,242,NA,NA,28,3238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-04","east_of_england",4,3,NA,3,1,17,24,220,NA,NA,20,1851,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-05","east_of_england",2,1,2,1,1,24,28,224,NA,NA,22,1729,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-06","east_of_england",2,NA,1,1,1,22,27,227,NA,NA,22,3970,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-07","east_of_england",3,2,NA,3,NA,18,24,224,NA,NA,23,5270,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-07-08","east_of_england",1,NA,1,NA,1,16,24,222,NA,NA,46,6040,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
