"date","region","death3","death_chr","death_comm","ons_death_carehome","ons_death_noncarehome","phe_admissions","phe_occupied_mv_beds","phe_patients","react_positive","react_samples","pillar2_positives_pcr_all_over25","pillar2_negatives_total_pcr_over25","n_symp_delta_variant","n_symp_non_delta_variant","death_0","death_55","death_65","death_75","icu","general","admitted","new","all_admission","death2","pillar2_positives_over25","pillar2_negatives_over25","pillar2_positives","pillar2_negatives","positives","negatives","positives_over25","pillar2_positives_pcr_all","pillar2_negatives_total_pcr","pillar2_positives_symp_pcr_only","pillar2_positives_symp_pcr_only_over25","n_delta_variant","n_non_delta_variant"
"2020-03-16","east_of_england",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-17","east_of_england",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-18","east_of_england",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-19","east_of_england",5,NA,NA,NA,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-20","east_of_england",2,NA,NA,NA,NA,23,NA,59,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-21","east_of_england",10,NA,NA,NA,NA,37,NA,74,NA,NA,NA,NA,NA,NA,NA,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-22","east_of_england",12,NA,1,NA,1,49,NA,95,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-23","east_of_england",13,NA,1,NA,1,46,NA,133,NA,NA,NA,NA,NA,NA,NA,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-24","east_of_england",21,NA,3,NA,2,106,NA,154,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-25","east_of_england",23,NA,2,NA,1,76,NA,196,NA,NA,NA,NA,NA,NA,1,3,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-26","east_of_england",37,1,NA,1,2,160,NA,295,NA,NA,NA,NA,NA,NA,NA,1,7,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-27","east_of_england",37,1,3,4,1,94,NA,341,NA,NA,NA,NA,NA,NA,NA,2,8,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-28","east_of_england",32,NA,4,2,4,124,NA,429,NA,NA,NA,NA,NA,NA,1,2,5,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-29","east_of_england",48,1,1,3,2,201,NA,482,NA,NA,NA,NA,NA,NA,2,1,12,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-30","east_of_england",51,NA,3,2,4,148,NA,628,NA,NA,NA,NA,NA,NA,NA,4,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-03-31","east_of_england",71,1,2,4,2,146,NA,793,NA,NA,NA,NA,NA,NA,NA,3,9,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-01","east_of_england",72,2,4,5,4,167,NA,833,NA,NA,NA,NA,NA,NA,NA,4,16,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-02","east_of_england",71,3,NA,7,3,184,119,841,NA,NA,NA,NA,NA,NA,1,2,10,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-03","east_of_england",84,1,3,9,3,192,162,914,NA,NA,NA,NA,NA,NA,3,6,12,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-04","east_of_england",73,NA,4,6,6,163,171,988,NA,NA,NA,NA,NA,NA,NA,5,10,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-05","east_of_england",85,5,6,15,9,220,219,1230,NA,NA,NA,NA,NA,NA,3,6,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-06","east_of_england",75,1,3,10,3,231,204,1220,NA,NA,NA,NA,NA,NA,1,4,13,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-07","east_of_england",109,2,4,18,7,164,255,1431,NA,NA,NA,NA,NA,NA,2,9,17,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-08","east_of_england",113,3,1,14,3,219,276,1435,NA,NA,NA,NA,NA,NA,1,8,16,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-09","east_of_england",89,1,6,19,8,192,265,1411,NA,NA,NA,NA,NA,NA,1,5,14,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-10","east_of_england",73,1,3,23,8,215,280,1500,NA,NA,NA,NA,NA,NA,2,4,10,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-11","east_of_england",100,3,2,23,3,165,283,1497,NA,NA,NA,NA,NA,NA,3,6,14,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-12","east_of_england",100,1,4,33,5,144,291,1679,NA,NA,NA,NA,NA,NA,3,6,13,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-13","east_of_england",81,NA,11,22,5,214,264,1471,NA,NA,NA,NA,NA,NA,2,6,13,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-14","east_of_england",68,1,4,23,3,187,303,1592,NA,NA,NA,NA,NA,NA,1,6,5,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020-04-15","east_of_england",81,4,5,31,3,113,308,1621,NA,NA,NA,NA,NA,NA,2,3,8,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
