"region","name","alpha_D","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta3","beta4","beta5","beta6","beta7","beta8","beta9","eps","m_CHR","m_CHW","mu_D","mu_D_2","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","p_G_D","p_G_D_CHR","p_H","p_H_2","p_H_3","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC","p_NC_weekend","p_W_D","rho_pillar2_tests","start_date"
"east_of_england","alpha_D",0.0251475596315328,-0.000260180056717101,0.000984383239704679,0.000118700596053332,-0.000233652597055554,-1.83925448781998e-05,-7.35132626187249e-05,0.00023229266327396,-4.39751194557086e-05,-5.92786776178538e-05,-5.66550772961941e-05,0.000242955361480123,-0.000364748474949533,-0.000826633587786388,9.67993412189139e-05,8.28363879573579e-06,-0.000104018426984399,-0.000238760906280373,-0.000312316203928433,-5.73536782328179e-05,5.93031962456724e-05,-6.63279942075852e-05,-0.00016025097457566,0.000231317560265122,0.000235184307741717,-0.000563363832708151,-0.0175040381811562,-4.17188666705806e-08,6.50799856892177e-08,-0.00106545489318909,-0.000563922733999825,0.0045340392791947,0.00273659377536695,0.000956399975237522,0.00193504145394904,-0.0040676660506861,-0.000968611784195479,0.00337860792236567,0.000350773374360195,0.00354901797859841,-6.22699326452401e-06,-0.000668516646029063,-0.00323480570360316,-1.5222906605684e-05,-1.33430979681309e-05,-0.00159084234630215,1.16790830550637e-05,0.404757861364008
"east_of_england","alpha_H",-0.000260180056717101,6.5623876482984e-06,-2.02760304417665e-05,-2.57009484082738e-07,3.37689058387818e-06,-2.53432200877337e-06,2.456776208376e-06,-2.60784404963243e-06,2.05161341293508e-06,2.36172909248969e-07,1.63719638204386e-06,-4.78105803365161e-06,7.50537868665841e-06,1.41375449673459e-05,-3.27711395546941e-06,4.33704047725724e-06,3.12847203651037e-07,7.85044075182119e-06,2.38336036229694e-06,1.26333541385834e-06,-2.03679833308859e-06,3.84420052671721e-06,1.74717293383776e-06,-1.39720335529542e-06,-7.71912546501728e-06,1.0313681898887e-05,0.00038433658248294,2.69923666846417e-09,-1.7968956103821e-09,5.18375521841894e-05,-4.2789083714935e-06,-5.56093348035787e-05,-4.92365095945996e-05,3.35270235727828e-05,-2.10663000832114e-05,8.62455249513502e-05,7.84812774394074e-06,-7.72980302631278e-05,-1.87450449102264e-05,-3.60940082621679e-05,7.34464534837125e-06,1.09864055779058e-05,-6.2868466988832e-05,3.27221791031849e-07,2.89523720682311e-08,8.12900006431205e-06,2.42300399049971e-07,-0.0101604265172864
"east_of_england","beta1",0.000984383239704679,-2.02760304417665e-05,0.000153737984540555,-6.24466634913619e-06,-1.29582628566459e-05,5.1567437857884e-06,-1.4827994683961e-06,1.02365569182636e-05,3.36802505075431e-06,-2.36231340401933e-06,-2.88894379549241e-06,3.02630886458343e-05,-4.38344964609214e-05,-0.000114646081993842,4.16108142834543e-05,-1.627239483903e-05,9.74057195032481e-06,-4.35260238391986e-05,5.52117051614879e-06,-2.24789573057583e-06,8.33889790003772e-06,-8.71751307271656e-06,-8.72280641430433e-06,1.16126384833209e-05,1.45177382943009e-05,-1.16776359262331e-05,-0.00174652615899428,-9.84443404580426e-09,5.6383033637367e-09,-0.000122778592040728,0.000235612467483422,0.00014658302653204,0.000244556115844491,-0.000347558283519992,9.31124958692208e-05,-0.000832952106604867,-0.000150018486196237,0.000244991207182583,6.5827536207142e-05,-2.99999322563884e-05,-7.42624455497923e-05,-5.14688465352833e-05,0.000387555186824541,-1.85977931756738e-06,1.83580848336138e-06,-0.000103382475703127,-4.56791343684299e-06,0.0695333085118547
"east_of_england","beta10",0.000118700596053332,-2.57009484082738e-07,-6.24466634913619e-06,8.20630142203761e-06,-6.8120969119837e-06,1.57798777670907e-06,-3.46724279932798e-06,2.58354540055807e-06,-6.1230677245301e-07,2.31075103888326e-07,-2.25914697308327e-06,1.5690091497821e-06,-3.91278445020145e-06,-1.22595638172539e-06,-1.40688766977429e-06,6.62163676118311e-07,-7.04031095697543e-06,3.7055685110762e-07,4.58822229029671e-10,1.30732990835172e-06,-4.05906178237029e-07,1.18114925306502e-07,-6.29983696336604e-06,5.94270664281949e-06,4.12840112262034e-06,-1.69833209281351e-05,-0.000166205907097321,-9.4787534351577e-10,1.10262430969504e-10,-2.06434023649423e-05,-5.65327099168419e-05,3.75791362054505e-05,2.16118511670865e-06,8.39132793067349e-05,1.57757972636778e-05,4.83539005792968e-05,2.37325662403675e-05,1.93979071826816e-05,6.85876626778421e-06,6.42066472687683e-05,1.0146584143962e-05,-8.67019658386592e-06,-0.000112996887804667,4.57863171584509e-09,-3.04824168381925e-07,-2.62654700359329e-05,-2.6726918667662e-07,-0.00361931531584763
"east_of_england","beta11",-0.000233652597055554,3.37689058387818e-06,-1.29582628566459e-05,-6.8120969119837e-06,2.61440140461382e-05,-9.15009545968098e-06,5.00275723772992e-06,-3.58619782081723e-06,-2.78722221845977e-07,-6.58440526525909e-07,4.41443119852746e-06,-5.22948406410548e-06,9.31330810690432e-06,4.04035873973996e-05,3.49988494619182e-06,-6.81126241570327e-07,6.18040545714876e-06,-7.93675461803485e-06,-1.63225805532431e-05,-1.106868716294e-06,-1.21401409252124e-06,4.74343571965602e-06,4.30212166913692e-06,1.58209713336462e-06,-1.40696447711481e-05,1.50173285955431e-05,0.000221209923286712,3.32225065971748e-09,-1.14566904078772e-09,-2.02072835447086e-05,2.08909720228782e-05,2.03610430925757e-05,-1.11366460211437e-05,-6.42979838325673e-05,-2.74945075513604e-05,8.43596767152847e-05,-2.01635549631334e-05,-6.97916086237249e-05,-1.34456426915784e-05,2.47061569063074e-06,-4.81277001211419e-05,2.36872163473824e-05,7.99105053799213e-05,7.81012946614032e-07,6.55513715916349e-07,-7.1301992875436e-06,-4.35519330002789e-07,-0.00436531650147706
"east_of_england","beta12",-1.83925448781998e-05,-2.53432200877337e-06,5.1567437857884e-06,1.57798777670907e-06,-9.15009545968098e-06,7.79164479255633e-06,-3.55134163600512e-06,5.15727575236158e-07,-8.93456144810887e-07,9.31880745523269e-07,-1.71111227867289e-06,1.13504711063441e-06,-2.37533269164646e-06,-8.98520645698499e-06,5.78056817806287e-08,-1.59494528188152e-06,-6.65289145911858e-06,3.39699966244596e-06,1.25353773664554e-06,-5.48628103514862e-07,2.02273539703436e-06,-4.95064699050863e-06,-1.56988122572996e-06,5.6864089301703e-07,7.78439596101329e-06,-9.08171565778777e-06,-2.43389744705964e-05,-1.52307317274119e-09,4.50246550734793e-10,-8.46552094417243e-07,2.34815613327042e-05,3.04272425383599e-06,-1.22627190520946e-05,-4.22847572973422e-06,-5.84654779516986e-06,-5.42709809895811e-07,3.33785029330597e-06,3.3636262125118e-05,1.60210624231276e-05,-2.94126789824408e-05,-4.88581006492227e-06,-8.50846729931064e-06,0.000107758943733633,-3.23019022006659e-07,1.07529690673993e-07,3.10414780325677e-05,6.2102148317448e-08,0.00291466061438374
"east_of_england","beta13",-7.35132626187249e-05,2.456776208376e-06,-1.4827994683961e-06,-3.46724279932798e-06,5.00275723772992e-06,-3.55134163600512e-06,4.3170074474878e-06,-2.90263134446153e-06,8.68574718304376e-07,-5.72822856725483e-07,2.0147897193936e-06,-2.81499215656583e-06,4.93322157918666e-06,4.87635344147949e-07,3.63011319244947e-07,-3.98657416650281e-07,3.90001951969705e-06,-1.50888752614262e-06,-1.43335980813437e-07,2.99941287985494e-07,-8.47126150109915e-07,2.62495740412332e-06,2.89212426599055e-06,-3.41272571237441e-06,-5.61184787481477e-06,1.21536198532201e-05,0.000207158648457058,1.73263130359302e-09,-7.38359983852227e-10,2.47467771927797e-05,3.26271681313766e-06,-5.11659961961666e-05,-1.74356157889155e-06,-3.23124338267132e-05,-9.17013714234787e-06,-1.14591148811474e-05,-4.96351459778128e-06,-5.18895021271597e-05,-1.38134323640842e-05,-2.13344727059497e-05,-1.24755017084245e-05,7.89608520218704e-06,1.92015492904001e-05,1.85372423425037e-07,-4.34243844219964e-08,-4.57810685736519e-05,7.18780560755749e-07,-0.00162989499208967
"east_of_england","beta14",0.00023229266327396,-2.60784404963243e-06,1.02365569182636e-05,2.58354540055807e-06,-3.58619782081723e-06,5.15727575236158e-07,-2.90263134446153e-06,6.1518182678811e-06,1.29967486149764e-06,-9.59025029043078e-07,3.88334944246614e-07,4.44116205485443e-06,-4.76039649497821e-06,-7.58790344162402e-06,1.62995024902423e-06,2.88221339097003e-06,5.5000454387549e-06,3.32189564393486e-06,-3.67674499217351e-06,3.67603324499353e-07,-1.39931152433795e-07,2.31983622104036e-06,-5.24845307937427e-06,7.56072092223902e-06,-2.2962029421066e-06,-3.02681899644164e-06,-0.000377165486109327,-2.23229877733064e-11,2.53530619965403e-10,-2.20953024422879e-05,2.55179862746069e-05,5.9131908282634e-05,2.8484316387737e-05,4.12354796183365e-05,2.40289794951256e-05,-2.44241865975104e-05,-2.89299832812775e-05,3.37300938478531e-05,-1.32856079343583e-05,1.82825454940872e-05,1.90495275622115e-05,-1.06453884291059e-05,-4.97929152215187e-05,-4.42610503270661e-08,-4.11297253225687e-09,9.42807099587728e-05,-4.04664080698713e-07,0.00529147037306616
"east_of_england","beta15",-4.39751194557086e-05,2.05161341293508e-06,3.36802505075431e-06,-6.1230677245301e-07,-2.78722221845977e-07,-8.93456144810887e-07,8.68574718304376e-07,1.29967486149764e-06,6.09988825873413e-06,-6.37526209240496e-07,2.00238222874291e-06,6.68773691556987e-07,2.20994619907471e-06,1.17169027575904e-06,1.37633843417759e-06,5.60101237004282e-06,3.70609560772426e-06,4.50130586677179e-06,3.36076001558266e-06,3.45031835451433e-07,-9.62074220101159e-07,4.36278373896293e-06,-1.10197588423121e-06,2.55984462120449e-06,-8.1638688427659e-06,1.12670248338498e-05,1.00218284670524e-06,1.76000836570305e-09,-9.19494701463603e-10,2.80481602681157e-05,2.57040889704735e-05,-3.32336068045736e-05,-9.54077068727772e-06,-1.29659497432858e-05,-2.60219508701482e-06,2.15197074193417e-05,-2.32990412326222e-05,-5.04749438247947e-05,-1.92038490573226e-05,-1.98330241407805e-05,6.41529617551964e-06,-7.3501317017089e-07,-3.29800280080115e-05,2.90993491675066e-08,2.20529948509932e-07,6.95013857641252e-05,-7.31415918485776e-08,0.000537110165682738
"east_of_england","beta16",-5.92786776178538e-05,2.36172909248969e-07,-2.36231340401933e-06,2.31075103888326e-07,-6.58440526525909e-07,9.31880745523269e-07,-5.72822856725483e-07,-9.59025029043078e-07,-6.37526209240496e-07,6.54525139739831e-07,-1.00693903692711e-06,-1.54906885694928e-07,-8.60609465054123e-07,2.19571287962632e-06,-4.49583811392798e-07,-3.45443539953512e-07,-3.29310628914749e-06,1.02645405707634e-07,2.47006878374196e-06,-1.70912247270426e-07,3.13686533356289e-07,-1.89421290141466e-06,9.64566641491887e-07,-1.3044173513871e-06,2.86794066080945e-06,-3.31656642155027e-06,5.72961962350747e-05,-7.21910419015166e-10,1.92289992540214e-10,1.32594961407091e-06,-4.51411625656485e-06,3.6462760031642e-06,-1.0528106378584e-05,-4.39505489559096e-06,-4.3303946096777e-06,-3.95925958111989e-07,8.8343581711252e-06,1.11533893347133e-05,1.08536567763659e-05,-3.40492375704243e-06,3.64985079153862e-06,1.09091310057923e-06,1.89901441864956e-07,-9.81477314300517e-08,7.6242658196194e-08,-5.34968227096805e-06,-3.85980621197637e-07,-0.000785642498784652
